drug_id,drug_name,drug_smiles
D02LWU,Pralatrexate,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
D00JFE,ARN-810,CCC(=C(C1=CC=C(C=C1)C=CC(=O)O)C2=CC3=C(C=C2)NN=C3)C4=C(C=C(C=C4)F)Cl
D02PYN,SR 16234,CCN(CC)CC1=CC(=C(C=C1)OCCC2CCC3C2(CCC4C3C(CC5=C4C=CC(=C5)O)C)C)OC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
D03NWC,SNG-8023,
D04UZT,Quinestrol,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5
D04VFJ,Toremifene,CN(C)CCOC1=CC=C(C=C1)C(=C(CCCl)C2=CC=CC=C2)C3=CC=CC=C3
D07KSG,Tamoxifen,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
D07KUN,Elacestrant,CCNCCC1=CC=C(C=C1)CN(CC)C2=C(C=CC(=C2)OC)C3CCC4=C(C3)C=CC(=C4)O
D08QMX,Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
D09IPV,Danazol,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5
D09NST,Afimoxifene,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
D09OJI,D-0502,
D0E3UW,RG6046,
D0GR2J,Idoxifene,CCC(=C(C1=CC=C(C=C1)OCCN2CCCC2)C3=CC=C(C=C3)I)C4=CC=CC=C4
D0JO7Y,Fulvestrant,CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F
D0L0BX,ICARITIN,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=C(O2)C3=CC=C(C=C3)OC)O)C
D0M5RF,Gestrinone,CCC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2(C#C)O
D0NZ3C,TTC-352,
D0R2JS,Droloxifene,CCC(=C(C1=CC=C(C=C1)OCCN(C)C)C2=CC(=CC=C2)O)C3=CC=CC=C3
D0R6RE,Esterified estrogens,
D0TR4Z,Zindoxifene,CCN1C2=C(C=C(C=C2)OC(=O)C)C(=C1C3=CC=C(C=C3)OC(=O)C)C
D0V2JK,Nomegestrol acetate,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4C1=CC(=O)CC4
D0W4EB,Endoxifen,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCNC)C3=CC=CC=C3
D0W9GA,Levormeloxifene,CC1(C(C(C2=C(O1)C=C(C=C2)OC)C3=CC=C(C=C3)OCCN4CCCC4)C5=CC=CC=C5)C
D0X1OW,AZD9496,CC1CC2=C(C(N1CC(C)(C)F)C3=C(C=C(C=C3F)C=CC(=O)O)F)NC4=CC=CC=C24
D0XB0T,Acolbifene,CC1=C(C(OC2=C1C=CC(=C2)O)C3=CC=C(C=C3)OCCN4CCCCC4)C5=CC=C(C=C5)O
D0Z5VW,H3B-6545,CN(C)C(=O)C=CCNCCOC1=NC=C(C=C1)C(=C(CC(F)(F)F)C2=CC=CC=C2)C3=CC4=C(NN=C4C=C3)F
DG38QS,G1T-48,
DGW9U7,Giredestrant,CC1CC2=C(C(N1CC(CO)(F)F)C3=C(C=C(C=C3F)NC4CN(C4)CCCF)F)NC5=CC=CC=C25
DH4Y3O,LY3484356,
DI9GC3,AC0682,
DJ1W5R,ZN-c5,
DNTW18,SCO-120,
DON71B,Imlunestrant,C1C(CN1CCOC2=CC=C(C=C2)C3C4=C5C=CC(=CC5=NC=C4C6=C(O3)C=C(C=C6)C(F)(F)F)O)CF
DZ91HE,OP-1250,
D09TQY,Dusigitumab,
D0P7MO,SFV IL-12 gene therapy,
D0K3XS,Custirsen,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=S)(O)OC3CC(OC3COP(=S)(O)OC4CC(OC4COP(=S)(O)OC5CC(OC5COP(=S)(O)OC6CC(OC6COP(=S)(O)OC7CC(OC7COP(=S)(O)OC8CC(OC8COP(=S)(O)OC9CC(OC9COP(=S)(O)OC1CC(OC1COP(=S)(O)OC1CC(OC1COP(=S)(O)OC1C(OC(C1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=S)(O)OC1C(OC(C1OCCOC)N1C=NC2=C1N=C(NC2=O)N)COP(=S)(O)OC1C(OC(C1OCCOC)N1C=NC2=C(N=CN=C21)N)COP(=S)(O)OC1C(OC(C1OCCOC)N1C=C(C(=NC1=O)N)C)CO)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C1N=C(NC2=O)N)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=CC(=NC1=O)N)OP(=S)(O)OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)OP(=S)(O)OCC1C(CC(O1)N1C=CC(=NC1=O)N)OP(=S)(O)OCC1C(CC(O1)N1C=NC2=C(N=CN=C21)N)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=O)(OCC1C(C(C(O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=O)NC1=O)C)OCCOC)O)S
D08QGT,GDC0941,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6
D0GW8X,GDC-0077,CC(C(=O)N)NC1=CC2=C(C=C1)C3=NC(=CN3CCO2)N4C(COC4=O)C(F)F
D0L0ZC,GSK1059615,C1=CC2=NC=CC(=C2C=C1C=C3C(=O)NC(=O)S3)C4=CC=NC=C4
D0FV8P,POL-6326,
D04ZLJ,LOSOXANTRONE,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=CC4=C3C2=NN4CCNCCO)NCCNCCO
D07BKL,KW-2170,C1=CC(=C2C3=C1C(=NN3C4=C(C=CC(=O)C4=C2O)O)CNCCO)NCCCN.Cl.Cl
D07QIT,GPX-150D,
D01FYA,PU-H71,CC(C)NCCCN1C2=NC=NC(=C2N=C1SC3=C(C=C4C(=C3)OCO4)I)N
D02TMO,177Lu-AMBA,
D0I3WC,RO-4929097,CC(C)(C(=O)NCC(C(F)(F)F)(F)F)C(=O)NC1C2=CC=CC=C2C3=CC=CC=C3NC1=O
D17TRG,2-Amino-4-[3-hydroxyphenyl]-4-hydroxybutanoic acid,
D0W8HN,Bavencio,
D0P7EK,Mannitol,C(C(C(C(C(CO)O)O)O)O)O
D02PHE,AZD9668,CC1=C(C=C(C(=O)N1C2=CC=CC(=C2)C(F)(F)F)C(=O)NCC3=NC=C(C=C3)S(=O)(=O)C)C4=CC=NN4C
D0A0SI,BAY 85-8501,CC1=C(C(N(C(=O)N1C2=CC=CC(=C2)C(F)(F)F)C)C3=C(C=C(C=C3)C#N)S(=O)(=O)C)C#N
D0V4XG,GSK2793660,
D0K3VA,Erdosteine,C1CSC(=O)C1NC(=O)CSCC(=O)O
D02EMR,Cilomilast,COC1=C(C=C(C=C1)C2(CCC(CC2)C(=O)O)C#N)OC3CCCC3
D0E6BB,Plazomicin,CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CNCCO)N)N)NC(=O)C(CCN)O)O
D0R8GR,OPC-14523,COC1=CC=CC2=C1CCC(=O)N2CCCN3CCN(CC3)C4=CC(=CC=C4)Cl
D00FMV,Putrescine,C(CCN)CN
D03RCV,D2A21,CC(C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC3=CC=CC=C3)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC4=CC=CC=C4)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CC5=CC=CC=C5)C(=O)NC(C)C(=O)NC(CC6=CC=CC=C6)C(=O)NC(C)C(=O)NC(CC7=CC=CC=C7)C(=O)O)NC(=O)C(CC8=CC=CC=C8)N
D0BJ7W,GLPG-0492,CN1C(=O)N(C(=O)C1(CO)C2=CC=CC=C2)C3=CC(=C(C=C3)C#N)C(F)(F)F
D0S7UU,PF-06260414,CC1CNS(=O)(=O)N(C1)C2=CC3=C(C=C2)C(=NC=C3)C#N
D07OED,BL-5040,
D03LQC,APD-209,CCCCCCCCCCCCC#CC#CCCCCCCCCC(=O)NCCOCCOCCOCCOCCOCCC(=O)NCCCCCOC1(CC(C(C(O1)C(C(CO)O)O)NC(=O)C)O)C(=O)O
D0S5TT,ACE-435,
D0C4BI,EX-1314,CC(C)(C(=O)NC(COCC1=CC=CC=C1)C2=NN=C3N2C(=CC=C3)COC(=O)N(C)CC(=O)N)N.Cl
D08QRO,BL-6020,
D03RZM,Steroid hormone conjugates,
DD76HZ,SNF472,C1(C(C(C(C(C1OP(=O)(O)[O-])OP(=O)(O)[O-])OP(=O)(O)[O-])OP(=O)(O)[O-])OP(=O)(O)[O-])OP(=O)(O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]
D04FNQ,BIM23A760,CC(=O)OC1=C(C(=C(C2=C1C=CC(=C2)Cl)OC(=O)C)OC)OC
D0RE6T,Telotristat ethyl,CCOC(=O)C(CC1=CC=C(C=C1)C2=CC(=NC(=N2)N)OC(C3=C(C=C(C=C3)Cl)N4C=CC(=N4)C)C(F)(F)F)N
D00TRL,REV-598,
DD9NG5,SHP-627,COC1=C(C=CC(=C1)C=CC(=O)NC2=CC=CC=C2C(=O)O)OCC#C
D7ZXE5,Beta-aminopropionitrile,C(CN)C#N
D9ILC1,PD98059,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
D9MT4S,CA-074Me,CCCNC(=O)C1C(O1)C(=O)NC(C(C)CC)C(=O)N2CCCC2C(=O)OC
D0JY2X,Neu-2000,C1=CC(=C(C=C1NCC2=C(C(=C(C(=C2F)F)C(F)(F)F)F)F)C(=O)O)O
D0G9JQ,PB1046,
D0E9AF,ALN-TTRsc,
D01VMZ,ARI-3037MO,
D00DIM,Monohydroxyethylrutoside,
D07NCV,BXT-51072,CC1(CN[Se]C2=CC=CC=C21)C
D0GY5Z,Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O
D05QCE,KM-01221,CSC1=NNC(=C1S(=O)(=O)C2=CC=C(C=C2)Cl)NC(=O)C3=CC=C(C=C3)Cl
D00CLC,SLV-338,
D04MBS,BMS-182657,C1CC2=CC=CC=C2N(C(=O)C1NC(=O)C(CC3=CC=CC=C3)S)CC(=O)O
D00SPK,E-4021,C1CN(CCC1C(=O)[O-])C2=NC3=C(C=C(C=C3)Cl)C(=N2)NCC4=CC5=C(C=C4)OCO5.[Na+]
D0K0EK,Prasterone,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C
D0L4SD,Alpha-acetyldigoxin,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)OC(=O)C)O
D0M9QK,Beta-acetyldigoxin,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CC(C5(C4(CCC5C6=CC(=O)OC6)O)C)O)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC(=O)C)O)O
D06CIJ,ISIS-CRP,
D0D9NY,Bempedoic acid,CC(C)(CCCCCC(CCCCCC(C)(C)C(=O)O)O)C(=O)O
D0T4LT,GSK-1842799C,
D0XE5M,SAR247799,
D01MXV,Etilefrine,CCNCC(C1=CC(=CC=C1)O)O
D02XXN,Evacetrapib,CC1=CC(=C2C(=C1)C(CCCN2CC3CCC(CC3)C(=O)O)N(CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)C5=NN(N=N5)C)C
D0G7MM,TA-8995,CCC1CC(C2=C(N1C(=O)OCC)C=CC(=C2)C(F)(F)F)N(CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=NC=C(C=N4)OCCCC(=O)O
D0YQ3M,EP-2104R,
D07EXV,XEMILOFIBAN,CCOC(=O)CC(C#C)NC(=O)CCC(=O)NC1=CC=C(C=C1)C(=N)N
D0S7JH,Macitentan,CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br
D0F8RK,GED-aPC,
D05ZGW,DPI-201-106,C1CN(CCN1CC(COC2=CC=CC3=C2C=C(N3)C#N)O)C(C4=CC=CC=C4)C5=CC=CC=C5
D05GZD,Rilapladib,COCCN1CCC(CC1)N(CC2=CC=C(C=C2)C3=CC=C(C=C3)C(F)(F)F)C(=O)CN4C5=CC=CC=C5C(=O)C=C4SCC6=C(C(=CC=C6)F)F
D0U7IL,Sotagliflozin,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)SC)O)O)O)Cl
D0F6XR,DV-7028,C1CCN2C(=NC(=O)N(C2=O)CCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F)C1.C(=CC(=O)O)C(=O)O
D0OQ3L,SL65.0472,C1CN(CCN1CCC2=CC(=O)N(C3=C2C=CC(=C3)F)CC(=O)N)C4=NC=CC5=C4C=CS5
D0R9KG,Temanogrel,CN1C(=CC=N1)C2=C(C=CC(=C2)NC(=O)C3=CC(=CC=C3)OC)OCCN4CCOCC4
D09ZFJ,AMG 529,
D06PQR,OPC-8490,C1CC(=O)NC2=C1C=C(C=C2)C(=O)N3CCN(CC3)CCCC(=O)C4=CC=CC=C4.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
D0F7NT,349U85.HCL,C1CCN(CC1)C2=CC3=C(C=C2)NC(=O)C=C3.Cl
D0W0TH,R 80122,CN(C1CCCCC1)C(=O)CON=C(C2=CC=CC=C2)C3=CC4=C(C=C3)N=C5NC(=O)CN5C4
D00YVF,Exenatide,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NCC(=O)NCC(=O)N3CCCC3C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(C)C(=O)N4CCCC4C(=O)N5CCCC5C(=O)N6CCCC6C(=O)NC(CO)C(=O)N)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CCC(=O)N)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC8=CC=CC=C8)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC9=CNC=N9)N
DKN63V,Pelacarsen,
D02DJG,LY-2189102,
D0BI7J,FP-045,
D08LLR,UK-51656,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCNCC(=O)N
D0VZ3D,AQ-RA-741,CCN(CC)CCCCC1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4
D06UYI,AM103,CC(=O)CC1=CC2=CC(=CN=C2N1CC(=O)N)OCC3=NC4=CC=CC=C4C=C3
D03HLK,PRT-060096,
D0W4JI,INS-50589,CCNC(=O)NC1=C2C(=NC=N1)N(C=N2)C3C4C(C(O3)COP(=O)(O)O)OC(O4)C=CC5=CC=CC=C5
D03KJU,NV-04,
D00YBW,OXY-111A,
DFG87U,MEDI6570,
D0SV7D,LOTRAFIBAN,CN1CC2=C(C=CC(=C2)C(=O)N3CCC(CC3)C4CCNCC4)NC(C1=O)CC(=O)O
D03SSG,PA-10040,
DTG28Y,LY3473329,C1CNCC1C(CC2=CC(=CC=C2)CN(CC3=CC=CC(=C3)CC(C4CCNC4)C(=O)O)CC5=CC=CC(=C5)CC(C6CCNC6)C(=O)O)C(=O)O
D0H3ST,AKCEA-ANGPTL3-LRX,
D01QIN,Atorvastatin,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
D02SRB,BPL-001,
D06WTZ,Lovastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
D0H0FX,NCX-6560,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)OCCCCO[N+](=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
D03AKH,CER-001,
D05AON,LSI-518P,
D0L8VA,CSL-112,
D0P6MB,Pexelizumab,
D03XHS,ACT-178882,CC1=CC(=C(C(=C1)Cl)OCCOC2=NC=C(C=C2)C3CCNCC3C(=O)N(CC4=C(C=CC(=C4)CCOC)Cl)C5CC5)Cl
D0U7OS,CARD-024,CCC(CCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C)C(C)C
D05EBY,PCSK9 Adnectin,
D07SKJ,LY3015014,
DKOY58,AZD3366,
D09BTK,NCX-1000,CC(CCC(=O)OC1=C(C=C(C=C1)C=CC(=O)OCCCCO[N+](=O)[O-])OC)C2CCC3C2(CCC4C3C(CC5C4(CCC(C5)O)C)O)C
D0D3KG,RG-7236,
D08GQK,WS-75624B,CC(CCCCCC1=NC(=CS1)C2=C(C(=CC(=N2)C(=O)O)OC)OC)O
D0O5XJ,XL652/XL014,
D01JIO,ZK-91587,CC12CCC(=O)C=C1CC(C3C2CCC4(C3C5CC5C46CCC(=O)O6)C)C(=O)OC
D06FOL,CALDARET HYDRATE,CC1=CC(=C(C=C1)N2CCNCC2)S(=O)(=O)O.O
D0CI3Z,AZD5462,CC1(CCC1)CNC(=O)C2C3CCC(C3)C2NC(=O)C4=CC(=C(C=C4OC)F)OC5CCC(CC5)(C)C(=O)O
D0NF1U,FENOFIBRIC ACID,CC(C)(C(=O)O)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
D0H6AG,PMID23981898C11d,CC(C)(C)C1=CC=CC(=C1)CNC2CS(=O)CC(C2O)CC3=CC(=C(C(=C3)F)N)OC(COC)C(F)(F)F
D03ZVW,Vapiprost,C1CCN(CC1)C2C(CC(C2CCC=CCCC(=O)O)OCC3=CC=C(C=C3)C4=CC=CC=C4)O
D0Y2HH,KC706,
D0ZN1R,Delphinidin,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O.[Cl-]
D0K4QT,BAY-Y-5959,CC1=C(C(C(=C(N1)N)C(=O)OC(C)C)C2=C3C=C(C=NC3=CC=C2)C4=CC=CC=C4)C#N
D02DSZ,Temocapril hydrochloride,CCOC(=O)C(CCC1=CC=CC=C1)NC2CSC(CN(C2=O)CC(=O)O)C3=CC=CS3.Cl
D0G8QW,Delapril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N(CC(=O)O)C2CC3=CC=CC=C3C2
D0S0ES,Imidapril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C(CN(C2=O)C)C(=O)O
D0X5SJ,Alacepril,CC(CSC(=O)C)C(=O)N1CCCC1C(=O)NC(CC2=CC=CC=C2)C(=O)O
D07VFD,Mirogabalin,CCC1=CC2C(C1)CC2(CC(=O)O)CN
D03CUS,CS-207,
D04QIE,Pemafibrate,CCC(C(=O)O)OC1=CC=CC(=C1)CN(CCCOC2=CC=C(C=C2)OC)C3=NC4=CC=CC=C4O3
D0B1TI,MPSK3169A,
D81WHA,AZD8233,
D0Y6HV,EMD-53998,CC1C(=NNC(=O)S1)C2=CC3=C(C=C2)N(CCC3)C(=O)C4=CC(=C(C=C4)OC)OC
D03GAY,H-409/22,CC(C1=CC=C(C=C1)O)NC(=O)C(CCCN=C(N)N)NC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3
D0AD5C,Acarbose,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO
D0N6EA,Odiparcil,CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(CS3)O)O)O
D0UL2I,PF-06427878,
D0T5IN,PX-867,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C(=CN5CCCC5)C4=C(C3=O)O)COC)C)C
D03GRD,AX-200,
D07DGA,Imatinib and nilotinib derivative 2,
D0OE4F,Imatinib and nilotinib derivative 1,CN1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=CC(=C3)NC4=NC=CC(=N4)C5=CN=CC=C5
D0Q9HF,Acetylcholine,CC(=O)OCC[N+](C)(C)C
D05ZJG,Anisodine,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)(C4=CC=CC=C4)O
D06VFO,Anisodamine,CN1C2CC(CC1C(C2)O)OC(=O)C(CO)C3=CC=CC=C3
D0IJ2H,FK-584,CC(C)(C)NC1CC(C=C1)(C2=CC=CC=C2)C3=CC=CC=C3
D0P3SH,ReN-1826,
DBA5M7,PMX205,C1CCC(CC1)CC2C(=O)NC(C(=O)NC(C(=O)NCCCC(C(=O)N3CCCC3C(=O)N2)NC(=O)CCC4=CC=CC=C4)CCCN=C(N)N)CC5=CNC6=CC=CC=C65
D0M2JA,ACP-106,
D0SR3T,JN-711,
D0Z0EH,PheTQS,
D07USR,SAVX-1,
D0I6VU,Enzastaurin,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7
D02FNJ,AL-309,
D0Z2FX,AL-209,
D0D2GZ,AL-408,
D0T9PL,BLV-0703,
D05BLG,MC-116,
D0G5RT,MC-113,
D0G9SH,SA-5845,
D0Y5MF,BND-001,
D04DUF,Phenylsulfonyl derivative 2,C1CCN(C1)CCCC(=O)NC2=CC3=C(C=C2)SCCN3C(=O)C4=CC=CC=C4
D07KTP,SCH79687,C1=CC(=CC=C1CC2=CN=CN2)CNC(=O)NC3=CC(=CC(=C3)Cl)Cl
D0D8LP,Phenylsulfonyl derivative 3,C1CCN(CC1)CCCOC2=CC3=C(C=C2)SCCN3S(=O)(=O)C4=CC=CC=C4
D0M7TW,PF-3900422,
D0W3RA,Phenylsulfonyl derivative 1,
D0ZC7W,Phenylsulfonyl derivative 4,CC1CCCN1CCCOC2=CC3=C(C=C2)SCCN3S(=O)(=O)C4=CC=CC=C4
D09CJO,CXB-029,
D08BTB,protirelin,C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)N
D00AHV,SKL-PD,
D0K0ZK,ADX-63365,C1CC(CN(C1)C(=O)C2=CC=C(C=C2)F)C3=NC(=NO3)C4=CC=C(C=C4)F
D0Z2UW,Nicaraven,CC(CNC(=O)C1=CN=CC=C1)NC(=O)C2=CN=CC=C2
D03FVI,97-139,
D0U3OY,Rovelizumab,
D0H3AB,Incobotulinum toxin A,
D0M7IH,Abobotulinum toxin A,
D09SFX,AGEN1884,
D42SLV,Zalifrelimab,
DXJH93,AK104,
D0G8CU,COTI-2,C1CC2=C(C(=NNC(=S)N3CCN(CC3)C4=CC=CC=N4)C1)N=CC=C2
D0R1BA,CAR-T cells targeting Muc1,
DFYL51,Ociperlimab,
D0B8ZR,NTO-1151,
D0WJ7H,AGEN2034,
D32ZQU,Balstilimab,
D06TWS,CAR-T cells targeting CD2,
D0A4GQ,Tisotumab vedotin,
D0IQ1V,CIGB-300,CC(C)CC1C(=O)NCC(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)N1)CC3=CNC=N3)CCCNC(=N)N)CO)CCSC)CC4=CNC5=CC=CC=C54)NC(=O)CCNC(=O)C(CCC(=O)N)NC(=O)C6CCCN6C(=O)C7CCCN7C(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(=O)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)CN)C(=O)O)C(C)O
D04FFM,ADXS-HPV,
DHMO41,KITE-439,
D0G2CG,AL3818,CC1=CC2=C(N1)C=CC(=C2F)OC3=C4C=C(C(=CC4=NC=C3)OCC5(CC5)N)OC
D00YXG,Anti-mesothelin CAR transduced PBL,
D05FUP,CAR-T cells targeting Mesothelin,
D0RO2L,CAR-T cells targeting PSMA,
D03ZTE,Chenodiol,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
DPS6V0,SPK-7001,
D08EIK,LY3016859,
D0JW0V,GCS-100,
D0G5CF,Doxercalciferol,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
D2RG4D,Runcaciguat,CC(C(C1=CC=C(C=C1)Cl)C(=O)NC2=C(C=CC(=C2)C(CC(=O)O)C3CC3)Cl)C(F)(F)F
DR07FQ,ION532,
D37AYZ,MEDI8367,
D05RZE,LY-2623091,CC(CN1CCOCC1)N2C3=C(C=C(C=C3)C=C4C5=C(C=C(C=C5)F)OCC6=CC=CC=C64)N=C2NC(=O)N
D0NV5O,Finerenone,CCOC1=NC=C(C2=C1C(C(=C(N2)C)C(=O)N)C3=C(C=C(C=C3)C#N)OC)C
D04AIB,AZD1772//RDX5791,
D0S5LO,PF-04449913,CN1CCC(CC1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N
D0P1TZ,MLN-977,C1CC(OC1COC2=CC=C(C=C2)F)C#CCCN(C(=O)N)O
D0P3CF,AZD-4407,
D00QKI,SCH-527123,CCC(C1=CC=C(O1)C)NC2=C(C(=O)C2=O)NC3=CC=CC(=C3O)C(=O)N(C)C
D01CAJ,AZD-3342,
D0E4GE,AZD-2551,
D01FXD,SCH-351591,COC1=C2C(=C(C=C1)C(=O)N=C3C(=CN(C=C3Cl)O)Cl)C=CC(=N2)C(F)(F)F
D07UHY,NIK-616,
D09TFB,TOFIMILAST,CCC1=NN(C2=C1CCN3C2=NN=C3C4=CC=CS4)C5CCCC5
D0F5IY,LIRIMILAST,CS(=O)(=O)OC1=CC2=C(C=C1)C(=C(O2)C(=O)C3=C(C=C(C=C3)Cl)Cl)NC(=O)N
D0K9PS,CHF-5480,
D0O8JW,Ronomilast,C1=CC2=C(N=C1)N(C=C2C(=O)C(=O)NC3=C(C=NC=C3Cl)Cl)CC4=CC=C(C=C4)F
D0UG4T,CDP840,COC1=C(C=C(C=C1)C(CC2=CC=NC=C2)C3=CC=CC=C3)OC4CCCC4
D00NPE,MMP-408,
D0E5YG,AZD1236,CC1(C(=O)NC(=O)N1)CS(=O)(=O)N2CCC(CC2)OC3=NC=C(C=C3)Cl
