target_id,pathway_name
T85435,Adherens junction
T85435,Insulin signaling pathway
T85435,Ovarian steroidogenesis
T85435,Type II diabetes mellitus
T85435,Non-alcoholic fatty liver disease (NAFLD)
T85435,Aldosterone-regulated sodium reabsorption
T85670,MAPK signaling pathway
T85670,Ras signaling pathway
T85670,Rap1 signaling pathway
T85670,PI3K-Akt signaling pathway
T85670,Apoptosis
T85670,Neurotrophin signaling pathway
T85670,Inflammatory mediator regulation of TRP channels
T86679,Rap1 signaling pathway
T86679,Calcium signaling pathway
T86679,Neuroactive ligand-receptor interaction
T86679,Vascular smooth muscle contraction
T86679,Alcoholism
T87024,Notch signaling pathway
T87024,Alzheimer's disease
T88318,
T88537,
T88752,MAPK signaling pathway
T88752,Ras signaling pathway
T88752,Rap1 signaling pathway
T88752,cAMP signaling pathway
T88752,Chemokine signaling pathway
T88752,Sphingolipid signaling pathway
T88752,Phagosome
T88752,PI3K-Akt signaling pathway
T88752,Wnt signaling pathway
T88752,Axon guidance
T88752,VEGF signaling pathway
T88752,Osteoclast differentiation
T88752,Focal adhesion
T88752,Adherens junction
T88752,Toll-like receptor signaling pathway
T88752,Natural killer cell mediated cytotoxicity
T88752,B cell receptor signaling pathway
T88752,Fc epsilon RI signaling pathway
T88752,Fc gamma R-mediated phagocytosis
T88752,Leukocyte transendothelial migration
T88752,Neurotrophin signaling pathway
T88752,Regulation of actin cytoskeleton
T88752,Non-alcoholic fatty liver disease (NAFLD)
T88752,Pancreatic secretion
T88752,Amyotrophic lateral sclerosis (ALS)
T88752,Bacterial invasion of epithelial cells
T88752,Epithelial cell signaling in Helicobacter pylori infection
T88752,Shigellosis
T88752,Salmonella infection
T88752,Pathways in cancer
T88752,Viral carcinogenesis
T88752,Proteoglycans in cancer
T88752,Colorectal cancer
T88752,Renal cell carcinoma
T88752,Pancreatic cancer
T88752,Choline metabolism in cancer
T88752,Viral myocarditis
T89034,Neuroactive ligand-receptor interaction
T89034,Complement and coagulation cascades
T89034,Staphylococcus aureus infection
T89034,Influenza A
T89988,Cytokine-cytokine receptor interaction
T89988,Chemokine signaling pathway
T90782,Neuroactive ligand-receptor interaction
T90848,
T91331,MAPK signaling pathway
T91331,Ras signaling pathway
T91331,Rap1 signaling pathway
T91331,Endocytosis
T91331,PI3K-Akt signaling pathway
T91331,Signaling pathways regulating pluripotency of stem cells
T91331,Regulation of actin cytoskeleton
T91331,Pathways in cancer
T91331,MicroRNAs in cancer
T91331,Bladder cancer
T91331,Central carbon metabolism in cancer
T94479,ErbB signaling pathway
T94479,HIF-1 signaling pathway
T94479,mTOR signaling pathway
T94479,PI3K-Akt signaling pathway
T94479,AMPK signaling pathway
T94479,TGF-beta signaling pathway
T94479,Fc gamma R-mediated phagocytosis
T94479,Insulin signaling pathway
T94479,Proteoglycans in cancer
T94479,Acute myeloid leukemia
T94479,Choline metabolism in cancer
T97613,Neuroactive ligand-receptor interaction
T97613,Circadian entrainment
T97917,
T99340,
T99347,Calcium signaling pathway
T99347,Neuroactive ligand-receptor interaction
T99347,Gap junction
T99347,Long-term potentiation
T99347,Retrograde endocannabinoid signaling
T99347,Glutamatergic synapse
T99347,Huntington's disease
T99799,
T99840,Notch signaling pathway
T99840,Alzheimer's disease
T99935,
T49814,
T74891,
T23389,
T37742,
T69707,
T02246,
T06011,
T07958,Cytokine-cytokine receptor interaction
T07958,HIF-1 signaling pathway
T07958,PI3K-Akt signaling pathway
T07958,Jak-STAT signaling pathway
T07958,Hematopoietic cell lineage
T12091,
T22995,
T30356,
T32578,Cytokine-cytokine receptor interaction
T32578,HIF-1 signaling pathway
T32578,FoxO signaling pathway
T32578,PI3K-Akt signaling pathway
T32578,Toll-like receptor signaling pathway
T32578,NOD-like receptor signaling pathway
T32578,Cytosolic DNA-sensing pathway
T32578,Jak-STAT signaling pathway
T32578,Hematopoietic cell lineage
T32578,TNF signaling pathway
T32578,Intestinal immune network for IgA production
T32578,Non-alcoholic fatty liver disease (NAFLD)
T32578,Prion diseases
T32578,Salmonella infection
T32578,Pertussis
T32578,Legionellosis
T32578,Chagas disease (American trypanosomiasis)
T32578,African trypanosomiasis
T32578,Malaria
T32578,Amoebiasis
T32578,Tuberculosis
T32578,Hepatitis B
T32578,Measles
T32578,Influenza A
T32578,HTLV-I infection
T32578,Herpes simplex infection
T32578,Pathways in cancer
T32578,Transcriptional misregulation in cancer
T32578,Inflammatory bowel disease (IBD)
T32578,Rheumatoid arthritis
T32578,Graft-versus-host disease
T32578,Hypertrophic cardiomyopathy (HCM)
T48940,
T53904,HIF-1 signaling pathway
T53904,Pathways in cancer
T53904,Renal cell carcinoma
T65197,Cytokine-cytokine receptor interaction
T65197,PI3K-Akt signaling pathway
T65197,Jak-STAT signaling pathway
T65197,Hematopoietic cell lineage
T85574,Calcium signaling pathway
T85574,cGMP-PKG signaling pathway
T85574,Neuroactive ligand-receptor interaction
T85574,Adrenergic signaling in cardiomyocytes
T85574,Vascular smooth muscle contraction
T85574,Renin-angiotensin system
T85574,Renin secretion
T85574,Pathways in cancer
T86264,Mineral absorption
T02777,
T04389,
T06042,
T06046,Arginine and proline metabolism
T06046,Metabolic pathways
T06046,Calcium signaling pathway
T06046,cGMP-PKG signaling pathway
T06046,HIF-1 signaling pathway
T06046,Sphingolipid signaling pathway
T06046,PI3K-Akt signaling pathway
T06046,VEGF signaling pathway
T06046,Platelet activation
T06046,Estrogen signaling pathway
T06046,Oxytocin signaling pathway
T07663,Purine metabolism
T07663,cGMP-PKG signaling pathway
T13491,
T14602,Complement and coagulation cascades
T17569,
T19693,
T20251,
T21324,
T28076,MAPK signaling pathway
T28076,Ras signaling pathway
T28076,Rap1 signaling pathway
T28076,PI3K-Akt signaling pathway
T28076,Regulation of actin cytoskeleton
T28076,Pathways in cancer
T28076,Melanoma
T29303,Dopaminergic synapse
T31946,Ras signaling pathway
T31946,Rap1 signaling pathway
T31946,Cytokine-cytokine receptor interaction
T31946,HIF-1 signaling pathway
T31946,Endocytosis
T31946,PI3K-Akt signaling pathway
T31946,Focal adhesion
T31946,Transcriptional misregulation in cancer
T31946,Rheumatoid arthritis
T39716,Adrenergic signaling in cardiomyocytes
T44068,Calcium signaling pathway
T44068,cGMP-PKG signaling pathway
T44068,cAMP signaling pathway
T44068,Neuroactive ligand-receptor interaction
T44068,Endocytosis
T44068,Adrenergic signaling in cardiomyocytes
T44068,Gap junction
T44068,Salivary secretion
T44068,Dilated cardiomyopathy
T50688,
T51408,Calcium signaling pathway
T51408,cGMP-PKG signaling pathway
T51408,Neuroactive ligand-receptor interaction
T51408,Endocytosis
T51408,Salivary secretion
T54644,MAPK signaling pathway
T54644,Calcium signaling pathway
T54644,Circadian entrainment
T59328,MAPK signaling pathway
T59328,ErbB signaling pathway
T59328,Ras signaling pathway
T59328,Rap1 signaling pathway
T59328,Calcium signaling pathway
T59328,Cytokine-cytokine receptor interaction
T59328,HIF-1 signaling pathway
T59328,FoxO signaling pathway
T59328,Endocytosis
T59328,PI3K-Akt signaling pathway
T59328,Dorso-ventral axis formation
T59328,Focal adhesion
T59328,Adherens junction
T59328,Gap junction
T59328,Regulation of actin cytoskeleton
T59328,GnRH signaling pathway
T59328,Estrogen signaling pathway
T59328,Oxytocin signaling pathway
T59328,Epithelial cell signaling in Helicobacter pylori infection
T59328,Hepatitis C
T59328,Pathways in cancer
T59328,Proteoglycans in cancer
T59328,MicroRNAs in cancer
T59328,Pancreatic cancer
T59328,Endometrial cancer
T59328,Glioma
T59328,Prostate cancer
T59328,Melanoma
T59328,Bladder cancer
T59328,Non-small cell lung cancer
T59328,Central carbon metabolism in cancer
T59328,Choline metabolism in cancer
T63803,Ras signaling pathway
T63803,Rap1 signaling pathway
T63803,Cytokine-cytokine receptor interaction
T63803,PI3K-Akt signaling pathway
T63803,Focal adhesion
T63803,Pathways in cancer
T71398,
T75888,Fatty acid degradation
T75888,Fatty acid metabolism
T75888,PPAR signaling pathway
T75888,AMPK signaling pathway
T75888,Adipocytokine signaling pathway
T75888,Glucagon signaling pathway
T76198,Calcium signaling pathway
T76198,Neuroactive ligand-receptor interaction
T76198,Platelet activation
T76937,
T78356,Arachidonic acid metabolism
T78356,Metabolic pathways
T78356,Platelet activation
T82028,cAMP signaling pathway
T82028,Cardiac muscle contraction
T82028,Adrenergic signaling in cardiomyocytes
T82028,Regulation of actin cytoskeleton
T82028,Thyroid hormone signaling pathway
T82028,Salivary secretion
T82028,Gastric acid secretion
T82028,Pancreatic secretion
T82028,Bile secretion
T82028,Proteoglycans in cancer
T82266,
T92138,
T92403,Proximal tubule bicarbonate reclamation
T92403,Protein digestion and absorption
T92403,Bile secretion
T92403,Mineral absorption
T94033,Neuroactive ligand-receptor interaction
T94033,Complement and coagulation cascades
T94033,Regulation of actin cytoskeleton
T99727,
T22350,
T22839,
T27999,
T30956,
T96321,
T05849,Calcium signaling pathway
T05849,Neuroactive ligand-receptor interaction
T05849,Gastric acid secretion
T08910,Neuroactive ligand-receptor interaction
T08910,Retrograde endocannabinoid signaling
T08910,GABAergic synapse
T08910,Morphine addiction
T08910,Nicotine addiction
T09572,Neuroactive ligand-receptor interaction
T11011,Neuroactive ligand-receptor interaction
T11754,Retrograde endocannabinoid signaling
T18299,ErbB signaling pathway
T18299,Calcium signaling pathway
T18299,cAMP signaling pathway
T18299,HIF-1 signaling pathway
T18299,Oocyte meiosis
T18299,Adrenergic signaling in cardiomyocytes
T18299,Wnt signaling pathway
T18299,Circadian entrainment
T18299,Long-term potentiation
T18299,Neurotrophin signaling pathway
T18299,Cholinergic synapse
T18299,Dopaminergic synapse
T18299,Olfactory transduction
T18299,Inflammatory mediator regulation of TRP channels
T18299,Insulin secretion
T18299,GnRH signaling pathway
T18299,Melanogenesis
T18299,Oxytocin signaling pathway
T18299,Glucagon signaling pathway
T18299,Gastric acid secretion
T18299,Amphetamine addiction
T18299,Tuberculosis
T18299,Proteoglycans in cancer
T18299,Glioma
T23499,Calcium signaling pathway
T23499,cGMP-PKG signaling pathway
T23499,cAMP signaling pathway
T23499,Neuroactive ligand-receptor interaction
T23499,Vascular smooth muscle contraction
T23499,Renin secretion
T23499,Pathways in cancer
T27376,Neuroactive ligand-receptor interaction
T27376,Retrograde endocannabinoid signaling
T27376,GABAergic synapse
T27376,Morphine addiction
T27376,Nicotine addiction
T30374,
T31204,Calcium signaling pathway
T31204,Neuroactive ligand-receptor interaction
T31204,Gap junction
T31204,Serotonergic synapse
T31204,Inflammatory mediator regulation of TRP channels
T38338,MAPK signaling pathway
T38338,Calcium signaling pathway
T38338,Synaptic vesicle cycle
T38338,Retrograde endocannabinoid signaling
T38338,Cholinergic synapse
T38338,Serotonergic synapse
T38338,GABAergic synapse
T38338,Dopaminergic synapse
T38338,Taste transduction
T38338,Type II diabetes mellitus
T38338,Morphine addiction
T38338,Nicotine addiction
T40016,Neuroactive ligand-receptor interaction
T42446,cAMP signaling pathway
T42446,Neuroactive ligand-receptor interaction
T42446,GABAergic synapse
T42446,Estrogen signaling pathway
T42446,Morphine addiction
T45262,Neuroactive ligand-receptor interaction
T45262,Long-term depression
T47094,Calcium signaling pathway
T47094,Neuroactive ligand-receptor interaction
T47094,Measles
T51487,Neuroactive ligand-receptor interaction
T51487,Retrograde endocannabinoid signaling
T51487,GABAergic synapse
T51487,Morphine addiction
T51487,Nicotine addiction
T52790,Calcium signaling pathway
T52790,Neuroactive ligand-receptor interaction
T52921,Neuroactive ligand-receptor interaction
T58992,cGMP-PKG signaling pathway
T58992,Sphingolipid signaling pathway
T58992,Neuroactive ligand-receptor interaction
T59881,Calcium signaling pathway
T59881,Neuroactive ligand-receptor interaction
T59881,Vascular smooth muscle contraction
T62184,GABAergic synapse
T62292,Neuroactive ligand-receptor interaction
T62292,Retrograde endocannabinoid signaling
T62292,GABAergic synapse
T62292,Morphine addiction
T62292,Nicotine addiction
T64382,
T66237,Neuroactive ligand-receptor interaction
T66237,Vasopressin-regulated water reabsorption
T67054,
T75984,Calcium signaling pathway
T75984,Neuroactive ligand-receptor interaction
T75984,Gap junction
T75984,Serotonergic synapse
T75984,Inflammatory mediator regulation of TRP channels
T79232,Calcium signaling pathway
T79232,Neuroactive ligand-receptor interaction
T79232,Vascular smooth muscle contraction
T80387,Neuroactive ligand-receptor interaction
T80387,Retrograde endocannabinoid signaling
T80387,Serotonergic synapse
T80387,GABAergic synapse
T80387,Morphine addiction
T80387,Nicotine addiction
T84160,
T84486,Calcium signaling pathway
T84486,cAMP signaling pathway
T84486,Neuroactive ligand-receptor interaction
T84486,Oxytocin signaling pathway
T85605,
T89515,
T90391,Steroid hormone biosynthesis
T90391,Linoleic acid metabolism
T90391,Retinol metabolism
T90391,Metabolism of xenobiotics by cytochrome P450
T90391,Drug metabolism - cytochrome P450
T90391,Drug metabolism - other enzymes
T90391,Metabolic pathways
T90391,Bile secretion
T90391,Chemical carcinogenesis
T99402,Neuroactive ligand-receptor interaction
T99402,Glutamatergic synapse
T99402,Taste transduction
T56545,PPAR signaling pathway
T56545,Fat digestion and absorption
T56545,Vitamin digestion and absorption
T56545,African trypanosomiasis
T51146,
T46937,Platelet activation
T99732,MAPK signaling pathway
T99732,Ras signaling pathway
T99732,Rap1 signaling pathway
T99732,PI3K-Akt signaling pathway
T99732,Regulation of actin cytoskeleton
T99732,Pathways in cancer
T99732,Melanoma
T73189,Starch and sucrose metabolism
T73189,MAPK signaling pathway - yeast
T73726,
T00140,Arachidonic acid metabolism
T00140,Metabolic pathways
T00140,Serotonergic synapse
T00140,Ovarian steroidogenesis
T00140,Toxoplasmosis
T00239,Cytokine-cytokine receptor interaction
T00239,PI3K-Akt signaling pathway
T00239,Jak-STAT signaling pathway
T00239,Hematopoietic cell lineage
T00239,T cell receptor signaling pathway
T00239,Fc epsilon RI signaling pathway
T00239,Intestinal immune network for IgA production
T00239,Leishmaniasis
T00239,Measles
T00239,Asthma
T00239,Autoimmune thyroid disease
T00239,Inflammatory bowel disease (IBD)
T00239,Allograft rejection
T02703,Arginine biosynthesis
T02703,Arginine and proline metabolism
T02703,Metabolic pathways
T02703,Calcium signaling pathway
T02703,HIF-1 signaling pathway
T02703,Peroxisome
T02703,Salmonella infection
T02703,Pertussis
T02703,Leishmaniasis
T02703,Chagas disease (American trypanosomiasis)
T02703,Toxoplasmosis
T02703,Amoebiasis
T02703,Tuberculosis
T02703,Pathways in cancer
T02703,Small cell lung cancer
T02752,Cytokine-cytokine receptor interaction
T02752,Chemokine signaling pathway
T02752,Viral carcinogenesis
T03346,Cytokine-cytokine receptor interaction
T03346,PI3K-Akt signaling pathway
T03346,Jak-STAT signaling pathway
T03346,Hematopoietic cell lineage
T03346,Inflammatory bowel disease (IBD)
T03403,
T03410,
T03500,
T05409,Renin-angiotensin system
T05409,Hematopoietic cell lineage
T05409,Protein digestion and absorption
T05409,Alzheimer's disease
T06446,
T06841,Cytokine-cytokine receptor interaction
T06841,Toll-like receptor signaling pathway
T06841,RIG-I-like receptor signaling pathway
T06841,Jak-STAT signaling pathway
T06841,Type I diabetes mellitus
T06841,Pertussis
T06841,Legionellosis
T06841,Leishmaniasis
T06841,Chagas disease (American trypanosomiasis)
T06841,African trypanosomiasis
T06841,Malaria
T06841,Toxoplasmosis
T06841,Amoebiasis
T06841,Tuberculosis
T06841,Measles
T06841,Influenza A
T06841,Herpes simplex infection
T06841,Inflammatory bowel disease (IBD)
T06841,Allograft rejection
T06955,Cytokine-cytokine receptor interaction
T06955,Chemokine signaling pathway
T06955,Viral carcinogenesis
T07861,
T10249,
T10265,Purine metabolism
T10265,cAMP signaling pathway
T10265,Morphine addiction
T10491,Cytokine-cytokine receptor interaction
T10965,Cell adhesion molecules (CAMs)
T10965,Malaria
T10965,Staphylococcus aureus infection
T11309,Cytokine-cytokine receptor interaction
T11309,Chemokine signaling pathway
T11309,NOD-like receptor signaling pathway
T11309,TNF signaling pathway
T11309,Chagas disease (American trypanosomiasis)
T11309,Malaria
T11309,Influenza A
T11309,Herpes simplex infection
T11309,Rheumatoid arthritis
T11388,Lysosome
T11388,Osteoclast differentiation
T11388,Toll-like receptor signaling pathway
T11388,Rheumatoid arthritis
T11451,Toll-like receptor signaling pathway
T11451,Chagas disease (American trypanosomiasis)
T11451,African trypanosomiasis
T11451,Malaria
T11451,Tuberculosis
T11451,Measles
T11451,Herpes simplex infection
T12119,
T14558,
T14834,Glycerophospholipid metabolism
T14834,Ether lipid metabolism
T14834,Arachidonic acid metabolism
T14834,Linoleic acid metabolism
T14834,alpha-Linolenic acid metabolism
T14834,Metabolic pathways
T14834,MAPK signaling pathway
T14834,Ras signaling pathway
T14834,Vascular smooth muscle contraction
T14834,VEGF signaling pathway
T14834,Platelet activation
T14834,Fc epsilon RI signaling pathway
T14834,Fc gamma R-mediated phagocytosis
T14834,Glutamatergic synapse
T14834,Serotonergic synapse
T14834,Long-term depression
T14834,Inflammatory mediator regulation of TRP channels
T14834,GnRH signaling pathway
T14834,Ovarian steroidogenesis
T14834,Oxytocin signaling pathway
T14834,Choline metabolism in cancer
T15377,Calcium signaling pathway
T15377,cGMP-PKG signaling pathway
T15377,cAMP signaling pathway
T15377,Cardiac muscle contraction
T15377,Adrenergic signaling in cardiomyocytes
T15377,Thyroid hormone signaling pathway
T15377,Pancreatic secretion
T15377,Alzheimer's disease
T15377,Hypertrophic cardiomyopathy (HCM)
T15377,Arrhythmogenic right ventricular cardiomyopathy (ARVC)
T15377,Dilated cardiomyopathy
T15556,HIF-1 signaling pathway
T15556,p53 signaling pathway
T15556,Hippo signaling pathway
T15556,Complement and coagulation cascades
T15556,Chagas disease (American trypanosomiasis)
T18876,Neuroactive ligand-receptor interaction
T18876,Inflammatory mediator regulation of TRP channels
T18876,Renin secretion
T18876,Pathways in cancer
T19760,
T20178,MAPK signaling pathway
T20178,Cytokine-cytokine receptor interaction
T20178,NF-kappa B signaling pathway
T20178,Sphingolipid signaling pathway
T20178,mTOR signaling pathway
T20178,Apoptosis
T20178,TGF-beta signaling pathway
T20178,Osteoclast differentiation
T20178,Antigen processing and presentation
T20178,Toll-like receptor signaling pathway
T20178,NOD-like receptor signaling pathway
T20178,RIG-I-like receptor signaling pathway
T20178,Hematopoietic cell lineage
T20178,Natural killer cell mediated cytotoxicity
T20178,T cell receptor signaling pathway
T20178,Fc epsilon RI signaling pathway
T20178,TNF signaling pathway
T20178,Adipocytokine signaling pathway
T20178,Type II diabetes mellitus
T20178,Non-alcoholic fatty liver disease (NAFLD)
T20178,Type I diabetes mellitus
T20178,Alzheimer's disease
T20178,Amyotrophic lateral sclerosis (ALS)
T20178,Pertussis
T20178,Legionellosis
T20178,Leishmaniasis
T20178,Chagas disease (American trypanosomiasis)
T20178,African trypanosomiasis
T20178,Malaria
T20178,Toxoplasmosis
T20178,Amoebiasis
T20178,Tuberculosis
T20178,Hepatitis C
T20178,Hepatitis B
T20178,Influenza A
T20178,HTLV-I infection
T20178,Herpes simplex infection
T20178,Proteoglycans in cancer
T20178,Asthma
T20178,Inflammatory bowel disease (IBD)
T20178,Systemic lupus erythematosus
T20178,Rheumatoid arthritis
T20178,Allograft rejection
T20178,Graft-versus-host disease
T20178,Hypertrophic cardiomyopathy (HCM)
T20178,Dilated cardiomyopathy
T20709,Neuroactive ligand-receptor interaction
T20709,Cholinergic synapse
T20709,Regulation of actin cytoskeleton
T20796,
T21865,Cell adhesion molecules (CAMs)
T21865,Staphylococcus aureus infection
T23714,Calcium signaling pathway
T23714,cGMP-PKG signaling pathway
T23714,Sphingolipid signaling pathway
T23714,Neuroactive ligand-receptor interaction
T23714,Complement and coagulation cascades
T23714,Inflammatory mediator regulation of TRP channels
T23714,Regulation of actin cytoskeleton
T23714,Endocrine and other factor-regulated calcium reabsorption
T23714,Chagas disease (American trypanosomiasis)
T23714,Pathways in cancer
T23797,Cytosolic DNA-sensing pathway
T23797,Influenza A
T26500,Neuroactive ligand-receptor interaction
T27602,Neuroactive ligand-receptor interaction
T27602,Pancreatic secretion
T27602,Protein digestion and absorption
T27602,Influenza A
T29143,Cytokine-cytokine receptor interaction
T29143,Jak-STAT signaling pathway
T29143,Fc epsilon RI signaling pathway
T29143,Measles
T29143,Asthma
T29143,Inflammatory bowel disease (IBD)
T29649,
T29879,Phagosome
T29879,PI3K-Akt signaling pathway
T29879,Focal adhesion
T29879,ECM-receptor interaction
T29879,Hematopoietic cell lineage
T29879,Regulation of actin cytoskeleton
T29879,Bacterial invasion of epithelial cells
T29879,Shigellosis
T29879,Pertussis
T29879,Proteoglycans in cancer
T29879,MicroRNAs in cancer
T29879,Hypertrophic cardiomyopathy (HCM)
T29879,Arrhythmogenic right ventricular cardiomyopathy (ARVC)
T29879,Dilated cardiomyopathy
T30563,Calcium signaling pathway
T30563,Neuroactive ligand-receptor interaction
T30803,Glutathione metabolism
T30803,Thyroid hormone synthesis
T30823,Cell cycle
T30823,Progesterone-mediated oocyte maturation
T30823,MicroRNAs in cancer
T31479,Glycerophospholipid metabolism
T31479,Ether lipid metabolism
T31479,Arachidonic acid metabolism
T31479,Linoleic acid metabolism
T31479,alpha-Linolenic acid metabolism
T31479,Metabolic pathways
T31479,Ras signaling pathway
T31479,Vascular smooth muscle contraction
T31479,Pancreatic secretion
T31479,Fat digestion and absorption
T33754,
T33846,Cytokine-cytokine receptor interaction
T34318,Salivary secretion
T34318,Tuberculosis
T37308,
T39921,
T40459,Jak-STAT signaling pathway
T43415,
T43739,
T43902,
T46482,Toll-like receptor signaling pathway
T46482,Measles
T46482,Influenza A
T46642,
T46658,
T47941,
T49072,Neuroactive ligand-receptor interaction
T52522,Calcium signaling pathway
T52522,cGMP-PKG signaling pathway
T52522,cAMP signaling pathway
T52522,Neuroactive ligand-receptor interaction
T52522,Endocytosis
T52522,Adrenergic signaling in cardiomyocytes
T52522,Salivary secretion
T53378,Nitrogen metabolism
T53378,Proximal tubule bicarbonate reclamation
T53669,
T56923,Cytokine-cytokine receptor interaction
T56923,Chemokine signaling pathway
T56923,Endocytosis
T56923,Epithelial cell signaling in Helicobacter pylori infection
T59626,Neuroactive ligand-receptor interaction
T60526,Cell adhesion molecules (CAMs)
T61744,Purine metabolism
T61744,cAMP signaling pathway
T61744,Morphine addiction
T63180,
T63184,
T63229,
T66011,Complement and coagulation cascades
T66011,Staphylococcus aureus infection
T66538,cGMP-PKG signaling pathway
T66538,Vascular smooth muscle contraction
T66538,Insulin secretion
T66538,Salivary secretion
T66538,Pancreatic secretion
T67063,cGMP-PKG signaling pathway
T67063,Vascular smooth muscle contraction
T67063,Insulin secretion
T67063,Salivary secretion
T67063,Pancreatic secretion
T67079,Cytokine-cytokine receptor interaction
T67079,Jak-STAT signaling pathway
T67079,Asthma
T67849,Inositol phosphate metabolism
T67849,ErbB signaling pathway
T67849,Ras signaling pathway
T67849,Rap1 signaling pathway
T67849,cGMP-PKG signaling pathway
T67849,cAMP signaling pathway
T67849,Chemokine signaling pathway
T67849,HIF-1 signaling pathway
T67849,FoxO signaling pathway
T67849,Phosphatidylinositol signaling system
T67849,Sphingolipid signaling pathway
T67849,mTOR signaling pathway
T67849,PI3K-Akt signaling pathway
T67849,AMPK signaling pathway
T67849,Apoptosis
T67849,Adrenergic signaling in cardiomyocytes
T67849,VEGF signaling pathway
T67849,Osteoclast differentiation
T67849,Focal adhesion
T67849,Signaling pathways regulating pluripotency of stem cells
T67849,Platelet activation
T67849,Toll-like receptor signaling pathway
T67849,Jak-STAT signaling pathway
T67849,Natural killer cell mediated cytotoxicity
T67849,T cell receptor signaling pathway
T67849,B cell receptor signaling pathway
T67849,Fc epsilon RI signaling pathway
T67849,Fc gamma R-mediated phagocytosis
T67849,TNF signaling pathway
T67849,Leukocyte transendothelial migration
T67849,Neurotrophin signaling pathway
T67849,Cholinergic synapse
T67849,Inflammatory mediator regulation of TRP channels
T67849,Regulation of actin cytoskeleton
T67849,Insulin signaling pathway
T67849,Progesterone-mediated oocyte maturation
T67849,Estrogen signaling pathway
T67849,Prolactin signaling pathway
T67849,Thyroid hormone signaling pathway
T67849,Oxytocin signaling pathway
T67849,Regulation of lipolysis in adipocytes
T67849,Type II diabetes mellitus
T67849,Non-alcoholic fatty liver disease (NAFLD)
T67849,Aldosterone-regulated sodium reabsorption
T67849,Carbohydrate digestion and absorption
T67849,Bacterial invasion of epithelial cells
T67849,Chagas disease (American trypanosomiasis)
T67849,Toxoplasmosis
T67849,Amoebiasis
T67849,Hepatitis C
T67849,Hepatitis B
T67849,Measles
T67849,Influenza A
T67849,HTLV-I infection
T67849,Epstein-Barr virus infection
T67849,Pathways in cancer
T67849,Viral carcinogenesis
T67849,Proteoglycans in cancer
T67849,Colorectal cancer
T67849,Renal cell carcinoma
T67849,Pancreatic cancer
T67849,Endometrial cancer
T67849,Glioma
T67849,Prostate cancer
T67849,Melanoma
T67849,Chronic myeloid leukemia
T67849,Acute myeloid leukemia
T67849,Small cell lung cancer
T67849,Non-small cell lung cancer
T67849,Central carbon metabolism in cancer
T67849,Choline metabolism in cancer
T68066,
T68290,Lysosome
T68290,Phagosome
T68290,Antigen processing and presentation
T68290,Tuberculosis
T68782,Neuroactive ligand-receptor interaction
T69619,"Glycine, serine and threonine metabolism"
T69619,Tyrosine metabolism
T69619,Phenylalanine metabolism
T69619,beta-Alanine metabolism
T69619,Metabolic pathways
T70518,
T70888,
T71192,Calcium signaling pathway
T71192,Neuroactive ligand-receptor interaction
T71230,
T72841,
T72957,
T73476,Complement and coagulation cascades
T74238,Calcium signaling pathway
T74238,Neuroactive ligand-receptor interaction
T78244,
T78585,Cytokine-cytokine receptor interaction
T78585,Jak-STAT signaling pathway
T78585,Hematopoietic cell lineage
T78585,T cell receptor signaling pathway
T78585,Fc epsilon RI signaling pathway
T78585,Intestinal immune network for IgA production
T78585,Asthma
T78585,Autoimmune thyroid disease
T78585,Inflammatory bowel disease (IBD)
T78585,Allograft rejection
T78932,Osteoclast differentiation
T78932,Jak-STAT signaling pathway
T78932,Toxoplasmosis
T78932,Hepatitis C
T78932,Measles
T78932,Influenza A
T78932,Herpes simplex infection
T78932,Epstein-Barr virus infection
T79422,
T81905,
T82577,Renin-angiotensin system
T82577,Chagas disease (American trypanosomiasis)
T82577,Hypertrophic cardiomyopathy (HCM)
T83193,Neuroactive ligand-receptor interaction
T83193,Inflammatory mediator regulation of TRP channels
T84634,Retinol metabolism
T84634,Metabolic pathways
T84726,
T85467,Calcium signaling pathway
T85467,cAMP signaling pathway
T85467,Neuroactive ligand-receptor interaction
T85467,Regulation of lipolysis in adipocytes
T85467,Pathways in cancer
T85857,Cytokine-cytokine receptor interaction
T85857,Jak-STAT signaling pathway
T86130,PI3K-Akt signaling pathway
T86130,Focal adhesion
T86130,ECM-receptor interaction
T86130,Cell adhesion molecules (CAMs)
T86130,Hematopoietic cell lineage
T86130,Leukocyte transendothelial migration
T86130,Intestinal immune network for IgA production
T86130,Regulation of actin cytoskeleton
T86130,Leishmaniasis
T86130,Hypertrophic cardiomyopathy (HCM)
T86130,Arrhythmogenic right ventricular cardiomyopathy (ARVC)
T86130,Dilated cardiomyopathy
T87023,Calcium signaling pathway
T87023,Neuroactive ligand-receptor interaction
T87023,Staphylococcus aureus infection
T88452,
T88714,
T88975,Purine metabolism
T88975,cGMP-PKG signaling pathway
T88975,cAMP signaling pathway
T88975,Morphine addiction
T89950,
T90828,
T93566,Arachidonic acid metabolism
T93566,Metabolic pathways
T93566,Serotonergic synapse
T93566,Ovarian steroidogenesis
T93566,Toxoplasmosis
T95379,
T95400,Sphingolipid signaling pathway
T95400,Fc epsilon RI signaling pathway
T95400,Asthma
T95913,Inositol phosphate metabolism
T95913,ErbB signaling pathway
T95913,Ras signaling pathway
T95913,Rap1 signaling pathway
T95913,cGMP-PKG signaling pathway
T95913,cAMP signaling pathway
