target_id,disease_name,target_disease_approval_status
T11388,Chronic obstructive pulmonary disease,Patented
T12189,Chronic obstructive pulmonary disease,Discontinued in Phase 2
T12541,Chronic obstructive pulmonary disease,Phase 1
T14731,Chronic obstructive pulmonary disease,Phase 2
T16016,Chronic obstructive pulmonary disease,Discontinued in Phase 2
T21865,Chronic obstructive pulmonary disease,Phase 2
T22655,Chronic obstructive pulmonary disease,Phase 2
T22839,Chronic obstructive pulmonary disease,Terminated
T23471,Chronic obstructive pulmonary disease,Phase 2
T23797,Chronic obstructive pulmonary disease,Phase 3
T25663,Chronic obstructive pulmonary disease,Approved
T28265,Chronic obstructive pulmonary disease,Phase 1
T28893,Chronic obstructive pulmonary disease,Approved
T29143,Chronic obstructive pulmonary disease,Phase 2
T29683,Chronic obstructive pulmonary disease,Discontinued in Phase 2
T33754,Chronic obstructive pulmonary disease,Discontinued in Phase 2
T34624,Chronic obstructive pulmonary disease,Phase 2
T35734,Chronic obstructive pulmonary disease,Phase 1
T40016,Chronic obstructive pulmonary disease,Approved
T40332,Chronic obstructive pulmonary disease,Phase 2
T40800,Chronic obstructive pulmonary disease,Approved
T41141,Chronic obstructive pulmonary disease,Patented
T45598,Chronic obstructive pulmonary disease,Phase 2
T46360,Chronic obstructive pulmonary disease,Phase 1
T46871,Chronic obstructive pulmonary disease,Phase 2
T47094,Chronic obstructive pulmonary disease,Discontinued in Phase 2
T47941,Chronic obstructive pulmonary disease,Phase 3
T51282,Chronic obstructive pulmonary disease,Investigative
T51408,Chronic obstructive pulmonary disease,Approved
T52522,Chronic obstructive pulmonary disease,Approved
T52790,Chronic obstructive pulmonary disease,Discontinued in Phase 2
T55012,Chronic obstructive pulmonary disease,Terminated
T55654,Chronic obstructive pulmonary disease,Phase 2
T56923,Chronic obstructive pulmonary disease,Phase 2
T57585,Chronic obstructive pulmonary disease,Phase 2
T60708,Chronic obstructive pulmonary disease,Phase 1
T61722,Chronic obstructive pulmonary disease,Phase 2
T61744,Chronic obstructive pulmonary disease,Phase 2
T61746,Chronic obstructive pulmonary disease,Patented
T62206,Chronic obstructive pulmonary disease,Phase 3
T62431,Chronic obstructive pulmonary disease,Phase 1
T62841,Chronic obstructive pulmonary disease,Patented
T63229,Chronic obstructive pulmonary disease,Phase 3
T63414,Chronic obstructive pulmonary disease,Phase 2
T63484,Chronic obstructive pulmonary disease,Approved
T65864,Chronic obstructive pulmonary disease,Phase 1
T67162,Chronic obstructive pulmonary disease,Discontinued in Phase 3
T67684,Chronic obstructive pulmonary disease,Approved
T67942,Chronic obstructive pulmonary disease,Preclinical
T67952,Chronic obstructive pulmonary disease,Discontinued in Preregistration
T68290,Chronic obstructive pulmonary disease,Patented
T72171,Chronic obstructive pulmonary disease,Phase 3
T72835,Chronic obstructive pulmonary disease,Phase 2a
T72957,Chronic obstructive pulmonary disease,Discontinued in Phase 1
T73476,Chronic obstructive pulmonary disease,Phase 2
T77236,Chronic obstructive pulmonary disease,Patented
T77365,Chronic obstructive pulmonary disease,Phase 2
T78585,Chronic obstructive pulmonary disease,Phase 3
T79961,Chronic obstructive pulmonary disease,Approved
T82393,Chronic obstructive pulmonary disease,Preclinical
T84316,Chronic obstructive pulmonary disease,Approved
T85857,Chronic obstructive pulmonary disease,Phase 2
T85943,Chronic obstructive pulmonary disease,Phase 1
T86364,Chronic obstructive pulmonary disease,Phase 2
T86385,Chronic obstructive pulmonary disease,Phase 2
T86552,Chronic obstructive pulmonary disease,Investigative
T89988,Chronic obstructive pulmonary disease,Phase 2
T90828,Chronic obstructive pulmonary disease,Phase 3
T03661,Chronic pain,Preregistration
T05409,Chronic pain,Phase 1
T07173,Chronic pain,Patented
T12119,Chronic pain,Phase 2
T47768,Chronic pain,Approved
T51076,Chronic pain,Patented
T51487,Chronic pain,Approved
T58992,Chronic pain,Phase 3
T59328,Chronic pain,Phase 2
T60693,Chronic pain,Phase 2
T62974,Chronic pain,Phase 2
T62974,Chronic pain,Phase 1
T66665,Chronic pain,Approved
T74312,Chronic pain,Phase 2
T80975,Chronic pain,Phase 2
T83193,Chronic pain,Phase 1
T84703,Chronic pain,Patented
T85670,Chronic pain,Phase 3
T96788,Chronic pain,Phase 2
T76093,Chronic tympanic membrane perforation,Phase 1
T48268,Circadian rhythm sleep disorder,Terminated
T97613,Circadian rhythm sleep disorder,Terminated
T46040,Clotting disorder,IND submitted
T01840,Coagulation defect,Phase 2
T10383,Coagulation defect,Clinical trial
T11843,Coagulation defect,Approved
T14602,Coagulation defect,Approved
T15803,Coagulation defect,Phase 2
T19368,Coagulation defect,Clinical trial
T27602,Coagulation defect,Phase 2
T41141,Coagulation defect,Clinical trial
T73476,Coagulation defect,Approved
T84631,Coagulation defect,Approved
T94033,Coagulation defect,Approved
T73726,Coccidioidomycosis,Phase 1
T05387,Coeliac disease,Phase 2
T32240,Coeliac disease,Phase 2
T68290,Coeliac disease,Phase 1
T86161,Coeliac disease,Phase 2
T09538,Colon cancer,Withdrawn from market
T14731,Colon cancer,Discontinued in Phase 2
T16514,Colon cancer,Phase 2
T31391,Colon cancer,Preclinical
T35792,Colon cancer,Preclinical
T47863,Colon cancer,Phase 1/2
T52227,Colon cancer,Approved
T52969,Colon cancer,Discontinued in Phase 2
T53524,Colon cancer,Patented
T53764,Colon cancer,Preclinical
T59328,Colon cancer,Phase 2
T60631,Colon cancer,Phase 1/2
T99948,Colon cancer,Phase 3
T05031,Colorectal cancer,Phase 1/2
T07173,Colorectal cancer,Phase 2
T07663,Colorectal cancer,Phase 3
T09826,Colorectal cancer,Approved
T10362,Colorectal cancer,Terminated
T10822,Colorectal cancer,Preclinical
T11451,Colorectal cancer,Phase 3
T13127,Colorectal cancer,Phase 1/2
T14143,Colorectal cancer,Phase 3
T14597,Colorectal cancer,Phase 2
T14731,Colorectal cancer,Discontinued in Phase 2
T15739,Colorectal cancer,Phase 1/2
T16340,Colorectal cancer,Phase 3
T16601,Colorectal cancer,Phase 2
T18779,Colorectal cancer,Phase 2
T18972,Colorectal cancer,Phase 1/2
T19579,Colorectal cancer,Phase 1/2
T20761,Colorectal cancer,Approved
T21960,Colorectal cancer,Phase 2
T23003,Colorectal cancer,Phase 2
T25637,Colorectal cancer,Phase 2
T26851,Colorectal cancer,Phase 1/2
T29130,Colorectal cancer,Phase 3
T29815,Colorectal cancer,Phase 2
T31946,Colorectal cancer,Approved
T35289,Colorectal cancer,Phase 1
T35486,Colorectal cancer,Phase 2
T37434,Colorectal cancer,Phase 1
T40010,Colorectal cancer,Phase 2
T40474,Colorectal cancer,Phase 1/2
T43332,Colorectal cancer,Discontinued in Phase 2
T43718,Colorectal cancer,Phase 1
T43739,Colorectal cancer,Phase 2
T45968,Colorectal cancer,Phase 2
T45993,Colorectal cancer,Discontinued in Phase 3
T47101,Colorectal cancer,Approved
T47107,Colorectal cancer,Phase 1
T47381,Colorectal cancer,Phase 1
T47863,Colorectal cancer,Discontinued in Phase 2
T48069,Colorectal cancer,Phase 1
T48429,Colorectal cancer,Phase 1/2
T48945,Colorectal cancer,Investigative
T51076,Colorectal cancer,Phase 2
T51223,Colorectal cancer,Phase 2
T51407,Colorectal cancer,Phase 1/2
T51666,Colorectal cancer,Investigative
T51693,Colorectal cancer,Phase 2
T52227,Colorectal cancer,Approved
T52624,Colorectal cancer,Approved
T53524,Colorectal cancer,Patented
T54156,Colorectal cancer,Terminated
T55273,Colorectal cancer,Phase 1
T55293,Colorectal cancer,Phase 2
T56418,Colorectal cancer,Phase 2
T57001,Colorectal cancer,Phase 1/2
T59328,Colorectal cancer,Approved
T59631,Colorectal cancer,Phase 3
T60345,Colorectal cancer,Phase 1
T60529,Colorectal cancer,Discontinued in Phase 2
T63934,Colorectal cancer,Phase 2
T63966,Colorectal cancer,Phase 1/2
T65755,Colorectal cancer,Phase 2
T67103,Colorectal cancer,Phase 2
T67619,Colorectal cancer,Phase 3
T67849,Colorectal cancer,Phase 1/2
T68547,Colorectal cancer,Phase 2
T69128,Colorectal cancer,Phase 2
T70067,Colorectal cancer,Phase 2
T71164,Colorectal cancer,Phase 1
T71266,Colorectal cancer,Phase 2
T74002,Colorectal cancer,Phase 2
T74312,Colorectal cancer,Approved
T75890,Colorectal cancer,Investigative
T76685,Colorectal cancer,Phase 2
T78114,Colorectal cancer,Discontinued in Phase 1
T79162,Colorectal cancer,Phase 1
T79249,Colorectal cancer,Investigative
T80276,Colorectal cancer,Phase 1/2
T80975,Colorectal cancer,Approved
T81774,Colorectal cancer,Phase 2
T84703,Colorectal cancer,Phase 2
T85554,Colorectal cancer,Phase 2
T86350,Colorectal cancer,Phase 2
T86428,Colorectal cancer,Terminated
T86528,Colorectal cancer,Phase 1/2
T86748,Colorectal cancer,Phase 2
T86836,Colorectal cancer,Approved
T89697,Colorectal cancer,Phase 1
T91696,Colorectal cancer,Phase 2
T94085,Colorectal cancer,Investigative
T95913,Colorectal cancer,Phase 1/2
T96144,Colorectal cancer,Phase 2
T96721,Colorectal cancer,Phase 3
T97136,Colorectal cancer,Phase 2
T97766,Colorectal cancer,Phase 1/2
T99160,Colorectal cancer,Phase 2
T99948,Colorectal cancer,Phase 1
T31479,Contact dermatitis,Phase 2
T68066,Contact dermatitis,Approved
T01777,Coronavirus infection,Preclinical
T04902,Coronavirus infection,Preclinical
T06273,Coronavirus infection,Preclinical
T12475,Coronavirus infection,Preclinical
T41141,Coronavirus infection,Patented
T51565,Coronavirus infection,Phase 2
T65414,Coronavirus infection,Approved
T68706,Coronavirus infection,Preclinical
T84894,Coronavirus infection,Phase 2
T86385,Coronavirus infection,Preclinical
T17140,Cough,Phase 3
T29303,Cough,Phase 2
T33754,Cough,Approved
T39716,Cough,Approved
T46360,Cough,Approved
T47094,Cough,Phase 2
T47768,Cough,Approved
T47941,Cough,Approved
T58992,Cough,Phase 1
T74166,Cough,Approved
T79961,Cough,Approved
T83193,Cough,Investigative
T02001,Crohn disease,Phase 2
T06841,Crohn disease,Phase 3
T07403,Crohn disease,Approved
T10265,Crohn disease,Phase 2
T13251,Crohn disease,Phase 2
T13852,Crohn disease,Phase 2
T14065,Crohn disease,Approved
T16486,Crohn disease,Discontinued in Phase 2
T17003,Crohn disease,Phase 3
T19334,Crohn disease,Phase 1
T19556,Crohn disease,Phase 2
T20178,Crohn disease,Phase 2
T22655,Crohn disease,Phase 2
T22839,Crohn disease,Phase 3
T23172,Crohn disease,Phase 1
T25307,Crohn disease,Phase 1
T26203,Crohn disease,Phase 2
T30635,Crohn disease,Phase 2
T32578,Crohn disease,Phase 2
T35212,Crohn disease,Phase 2
T35289,Crohn disease,Phase 2
T37693,Crohn disease,Phase 2
T40111,Crohn disease,Phase 4
T40332,Crohn disease,Phase 3
T45758,Crohn disease,Phase 1
T46526,Crohn disease,Phase 2
T49814,Crohn disease,Approved
T54156,Crohn disease,Phase 2
T57011,Crohn disease,Phase 2
T61744,Crohn disease,Phase 2
T62460,Crohn disease,Phase 2
T68290,Crohn disease,Phase 1
T70888,Crohn disease,Phase 1
T83103,Crohn disease,Phase 2
T85435,Crohn disease,Phase 2
T86130,Crohn disease,Phase 3
T93661,Crohn disease,Phase 3
T94695,Crohn disease,Phase 3
T95385,Crohn disease,Discontinued in Phase 2
T97587,Crohn disease,Approved
T97713,Crohn disease,Phase 4
T97873,Crohn disease,Phase 3
T97947,Crohn disease,Phase 3
T13852,Cutaneous lupus erythematosus,Phase 2
T32578,Cutaneous lupus erythematosus,Phase 3
T55398,Cutaneous lupus erythematosus,Phase 1
T62431,Cutaneous lupus erythematosus,Phase 2
T62460,Cutaneous lupus erythematosus,Phase 2
T63226,Cutaneous lupus erythematosus,Phase 3
T93440,Cutaneous lupus erythematosus,Phase 3
T99340,Cutaneous lupus erythematosus,Phase 2
T01840,Cystic fibrosis,Terminated
T02779,Cystic fibrosis,Phase 3
T11211,Cystic fibrosis,Discontinued in Phase 2
T20178,Cystic fibrosis,Phase 2
T20297,Cystic fibrosis,Phase 2
T22348,Cystic fibrosis,Phase 2
T22415,Cystic fibrosis,Phase 2
T22839,Cystic fibrosis,Terminated
T28265,Cystic fibrosis,Phase 1
T29303,Cystic fibrosis,Phase 1/2
T34743,Cystic fibrosis,Phase 2
T40332,Cystic fibrosis,Phase 2
T40696,Cystic fibrosis,Phase 2
T46360,Cystic fibrosis,Phase 1
T52173,Cystic fibrosis,Phase 2
T52227,Cystic fibrosis,Phase 2
T55654,Cystic fibrosis,Approved
T56923,Cystic fibrosis,Phase 2
T57585,Cystic fibrosis,Discontinued in Phase 2
T58184,Cystic fibrosis,Phase 2
T59626,Cystic fibrosis,Discontinued in Phase 2
T61484,Cystic fibrosis,Phase 3
T61746,Cystic fibrosis,Preclinical
T72252,Cystic fibrosis,Clinical trial
T83145,Cystic fibrosis,Terminated
T86836,Cystic fibrosis,Approved
T86918,Cystic fibrosis,Phase 3
T87350,Cystic fibrosis,Phase 1
T93515,Cystic fibrosis,Phase 2
T93903,Cystic fibrosis,Clinical trial
T94309,Cystic fibrosis,Phase 3
T97621,Cystic fibrosis,Approved
T50942,Cystitis,Terminated
T51487,Cystitis,Approved
T88240,Cystitis,Approved
T07507,Deafness,Phase 1/2
T68039,Deep vein thrombosis,Terminated
T73476,Deep vein thrombosis,Approved
T84631,Deep vein thrombosis,Approved
T62501,Delayed methotrexate clearance,Approved
T01777,Dementia,Investigative
T07400,Dementia,Phase 3
T11072,Dementia,Phase 2
T11448,Dementia,Investigative
T22118,Dementia,Phase 2
T28893,Dementia,Phase 1
T30082,Dementia,Phase 1/2
T43760,Dementia,Phase 1
T46245,Dementia,Phase 2
T55959,Dementia,Phase 3
T58920,Dementia,Discontinued in Phase 2
T59045,Dementia,Phase 2
T63967,Dementia,Discontinued in Phase 2
T64765,Dementia,Phase 2
T69494,Dementia,Terminated
T69685,Dementia,Investigative
T78709,Dementia,Phase 2
T82266,Dementia,Phase 2
T83011,Dementia,Approved
T84160,Dementia,Investigative
T97613,Dementia,Phase 2
T19414,Dengue fever,Preclinical
T92777,Dengue fever,Phase 1/2
T00156,Depression,Phase 2
T01777,Depression,Discontinued in Phase 3
T08910,Depression,Approved
T09572,Depression,Preclinical
T11448,Depression,Phase 1
T21945,Depression,Approved
T23499,Depression,Discontinued in Phase 1
T27376,Depression,Approved
T27812,Depression,Approved
T28722,Depression,Approved
T29683,Depression,Terminated
T31204,Depression,Approved
T32060,Depression,Phase 3
T34429,Depression,Phase 2
T40016,Depression,Phase 2
T42446,Depression,Approved
T42748,Depression,Approved
T45262,Depression,Phase 2
T47094,Depression,Approved
T51487,Depression,Approved
T52790,Depression,Discontinued in Phase 3
T52921,Depression,Phase 2
T54128,Depression,Approved
T58589,Depression,Investigative
T58716,Depression,Discontinued in Phase 1
T59929,Depression,Approved
T62151,Depression,Approved
T64382,Depression,Approved
T65197,Depression,Phase 2
T67162,Depression,Approved
T69494,Depression,Phase 3
T75984,Depression,Approved
T77913,Depression,Approved
T78709,Depression,Approved
T79961,Depression,Withdrawn from market
T80387,Depression,Approved
T83011,Depression,Approved
T83813,Depression,Approved
T83875,Depression,Approved
T85605,Depression,Phase 3
T89697,Depression,Approved
T91558,Depression,Phase 2
T99935,Depression,Discontinued in Phase 1
T34287,Dermatitis herpetiformis,Approved
T88240,Dermatitis herpetiformis,Approved
T87119,Dermatophytosis,Approved
T93344,Dermatophytosis,Approved
T63187,Desmoid tumour,Phase 1
T82795,Desmoid tumour,Phase 1
T99840,Desmoid tumour,Approved
T38529,Diabetic foot ulcer,Approved
T44068,Diabetic foot ulcer,Phase 1/2
T44479,Diabetic foot ulcer,Phase 3
T44682,Diabetic foot ulcer,Phase 2
T49639,Diabetic foot ulcer,Phase 1
T52624,Diabetic foot ulcer,Approved
T53904,Diabetic foot ulcer,Phase 1
T57680,Diabetic foot ulcer,Approved
T59328,Diabetic foot ulcer,Approved
T62094,Diabetic foot ulcer,Phase 2
T63966,Diabetic foot ulcer,Discontinued in Phase 2
T67801,Diabetic foot ulcer,Phase 3
T76198,Diabetic foot ulcer,Approved
T77365,Diabetic foot ulcer,Phase 2
T78111,Diabetic foot ulcer,Phase 1/2
T83797,Diabetic foot ulcer,Phase 3
T87350,Diabetic foot ulcer,Phase 3
T88318,Diabetic foot ulcer,Phase 2
T91894,Diabetic foot ulcer,Phase 3
T05849,Diagnostic imaging,Approved
T13259,Diagnostic imaging,Approved
T15117,Diagnostic imaging,Approved
T22778,Diagnostic imaging,Phase 1
T33275,Diagnostic imaging,Phase 2
T53024,Diagnostic imaging,Approved
T81905,Diagnostic imaging,Approved
T87024,Diagnostic imaging,Approved
T97071,Diagnostic imaging,Approved
T01232,Diffuse large B-cell lymphoma,Phase 2
T06273,Diffuse large B-cell lymphoma,Phase 1
T08306,Diffuse large B-cell lymphoma,Approved
T08391,Diffuse large B-cell lymphoma,Investigative
T11451,Diffuse large B-cell lymphoma,Discontinued in Phase 1/2
T14755,Diffuse large B-cell lymphoma,Terminated
T23172,Diffuse large B-cell lymphoma,Investigative
T25005,Diffuse large B-cell lymphoma,Phase 3
T25265,Diffuse large B-cell lymphoma,Phase 1/2
T27861,Diffuse large B-cell lymphoma,Phase 1
T33976,Diffuse large B-cell lymphoma,Phase 1/2
T37539,Diffuse large B-cell lymphoma,Phase 1/2
T40276,Diffuse large B-cell lymphoma,Phase 3
T41963,Diffuse large B-cell lymphoma,Phase 1/2
T43115,Diffuse large B-cell lymphoma,Phase 1
T44916,Diffuse large B-cell lymphoma,Phase 1/2
T46482,Diffuse large B-cell lymphoma,Discontinued in Phase 1/2
T47387,Diffuse large B-cell lymphoma,Phase 2
T48703,Diffuse large B-cell lymphoma,Discontinued in Phase 1/2
T51407,Diffuse large B-cell lymphoma,Phase 2
T56365,Diffuse large B-cell lymphoma,Approved
T56365,Diffuse large B-cell lymphoma,Phase 1/2
T56418,Diffuse large B-cell lymphoma,Phase 1
T59328,Diffuse large B-cell lymphoma,Investigative
T59631,Diffuse large B-cell lymphoma,Phase 2
T60345,Diffuse large B-cell lymphoma,Approved
T62431,Diffuse large B-cell lymphoma,Phase 2
T62460,Diffuse large B-cell lymphoma,Investigative
T63204,Diffuse large B-cell lymphoma,Phase 2
T65755,Diffuse large B-cell lymphoma,Phase 2
T67619,Diffuse large B-cell lymphoma,Phase 3
T67849,Diffuse large B-cell lymphoma,Phase 2/3
T68547,Diffuse large B-cell lymphoma,Phase 1/2
T73215,Diffuse large B-cell lymphoma,Approved
T74312,Diffuse large B-cell lymphoma,Phase 2
T87871,Diffuse large B-cell lymphoma,Phase 2/3
T88304,Diffuse large B-cell lymphoma,Phase 1
T88483,Diffuse large B-cell lymphoma,Phase 1
T95913,Diffuse large B-cell lymphoma,Phase 3
T96144,Diffuse large B-cell lymphoma,Phase 3
T97111,Diffuse large B-cell lymphoma,Phase 2
T97766,Diffuse large B-cell lymphoma,Phase 2
T99948,Diffuse large B-cell lymphoma,Phase 2
T99989,Diffuse large B-cell lymphoma,Phase 2/3
T08583,Disseminated intravascular coagulation,Discontinued in Phase 3
T05849,Duodenal ulcer,Phase 3
T13201,Duodenal ulcer,Withdrawn from market
T20401,Duodenal ulcer,Withdrawn from market
T26220,Duodenal ulcer,Investigative
T30985,Duodenal ulcer,Withdrawn from market
T92687,Duodenal ulcer,Phase 2
T97141,Duodenal ulcer,Phase 2
T00494,Dyslipidemia,Investigative
T00890,Dyslipidemia,Phase 2
T15334,Dyslipidemia,Discontinued in Phase 1
T28893,Dyslipidemia,Phase 1
T36557,Dyslipidemia,Phase 1
T43760,Dyslipidemia,Phase 1
T46628,Dyslipidemia,Phase 2
T53585,Dyslipidemia,Approved
T68782,Dyslipidemia,Discontinued in Phase 3
T86591,Dyslipidemia,Phase 2
T88185,Dyslipidemia,Phase 2
T88697,Dyslipidemia,Phase 2
T95558,Dyslipidemia,Phase 2
T89534,Dyspareunia,Approved
T05849,Dyspepsia,Terminated
T28330,Dyspepsia,Terminated
T36075,Dyspepsia,Phase 2
T59679,Dyspepsia,Withdrawn from market
T62306,Dyspepsia,Preclinical
T53811,Dysplasia,Phase 3
T85072,Dysplasia,Phase 3
T87024,Dystrophic epidermolysis bullosa,Phase 1/2
T37952,Eczema,Phase 2
T40016,Eczema,Phase 2
T43415,Eczema,Phase 2
T47094,Eczema,Phase 1
T22839,Emphysema,Terminated
T28265,Emphysema,Approved
T47941,Emphysema,Discontinued in Phase 3
T61744,Emphysema,Discontinued in Phase 3
T82146,Emphysema,Phase 2
T18477,Encephalopathy,Phase 1
T40954,Encephalopathy,Phase 2
T56365,Encephalopathy,Phase 2
T92828,Encephalopathy,Phase 3
T93440,Encephalopathy,Phase 3
T52227,Endocarditis,Approved
T96144,Endocarditis,Terminated
T22032,Endocrine disease,Investigative
T77796,Endocrine disease,Investigative
T02551,Endometrial cancer,Phase 2
T03513,Endometrial cancer,Phase 2
T15739,Endometrial cancer,Phase 1
T22939,Endometrial cancer,Phase 2
T47101,Endometrial cancer,Phase 2
T52624,Endometrial cancer,Phase 2
T56697,Endometrial cancer,Phase 2
T59631,Endometrial cancer,Approved
T67162,Endometrial cancer,Phase 2
T71536,Endometrial cancer,Phase 2
T75243,Endometrial cancer,Phase 2
T83386,Endometrial cancer,Phase 1
T85943,Endometrial cancer,Phase 1/2
T86836,Endometrial cancer,Phase 2
T87108,Endometrial cancer,Phase 1
T91331,Endometrial cancer,Phase 2
T95913,Endometrial cancer,Phase 2
T06421,Endometriosis,Phase 1
T09092,Endometriosis,Phase 2
T12475,Endometriosis,Approved
T13260,Endometriosis,Phase 2
T17140,Endometriosis,Phase 1
T22939,Endometriosis,Phase 3
T33489,Endometriosis,Phase 2
T37693,Endometriosis,Patented
T38529,Endometriosis,Phase 1
T60529,Endometriosis,Investigative
T66665,Endometriosis,Terminated
T89534,Endometriosis,Phase 3
T64382,Enterobiasis,Approved
T54055,Enthesopathy,Phase 3
T66237,Enuresis,Approved
T24373,Enzyme deficiency,Approved
T29736,Epidermolysis bullosa,Phase 1
T96876,Epidermolysis bullosa,Phase 3
T58741,Epileptic encephalopathy,Phase 2
T78709,Episode,Discontinued in Phase 2
T09826,Esophageal cancer,Phase 2
T12475,Esophageal cancer,Discontinued in Phase 1
T15739,Esophageal cancer,Phase 1
T18779,Esophageal cancer,Phase 1/2
T20178,Esophageal cancer,Phase 3
T47863,Esophageal cancer,Phase 1/2
T56697,Esophageal cancer,Phase 2
T59328,Esophageal cancer,Discontinued in Phase 2
T59631,Esophageal cancer,Phase 3
T65883,Esophageal cancer,Phase 2
T82277,Esophageal cancer,Phase 1/2
T83193,Esophagus sensitivity,Discontinued in Phase 2
T78111,Essential hypertension,Approved
T16739,Ewing sarcoma,Phase 1
T34867,Ewing sarcoma,Phase 1
T79051,Ewing sarcoma,Phase 1
T93121,Ewing sarcoma,Phase 1
T89534,Eye disorder,Discontinued in Phase 2
T00750,Fallopian tube cancer,Phase 2
T05938,Fallopian tube cancer,Phase 1
T06273,Fallopian tube cancer,Approved
T15739,Fallopian tube cancer,Phase 1
T20761,Fallopian tube cancer,Phase 1
T22350,Fallopian tube cancer,Phase 2
T26226,Fallopian tube cancer,Phase 1
T55273,Fallopian tube cancer,Phase 1
T85943,Fallopian tube cancer,Phase 1/2
T87108,Fallopian tube cancer,Phase 1
T95385,Fallopian tube cancer,Phase 2
T21945,Fatigue,Phase 2
T10092,Female infertility,Phase 1
T12475,Female infertility,Phase 3
T68334,Female infertility,Approved
T79473,Female infertility,Approved
T89534,Female infertility,Approved
T60529,Fever,Withdrawn from market
T00039,Fibrosis,Phase 2
T20761,Fibrosis,Patented
T21307,Fibrosis,Investigative
T29036,Fibrosis,Phase 2
T29741,Fibrosis,Phase 2
T32137,Fibrosis,Phase 2
T40474,Fibrosis,Phase 1/2
T53389,Fibrosis,Terminated
T59550,Fibrosis,Phase 1
T63512,Fibrosis,Patented
T67162,Fibrosis,Phase 3
T92640,Fibrosis,Phase 2
T95923,Fibrosis,Phase 2
T98269,Fibrosis,Phase 2
T19433,Flatworm infection,Approved
T06671,Follicular lymphoma,Phase 1
T08306,Follicular lymphoma,Phase 2
T25005,Follicular lymphoma,Phase 3
T25265,Follicular lymphoma,Approved
T31309,Follicular lymphoma,Phase 1
T34123,Follicular lymphoma,Phase 1
T37539,Follicular lymphoma,Phase 1/2
T56365,Follicular lymphoma,Phase 2/3
T59631,Follicular lymphoma,Phase 2
T60345,Follicular lymphoma,Approved
T65755,Follicular lymphoma,Phase 3
T66693,Follicular lymphoma,Clinical trial
T67849,Follicular lymphoma,Approved
T73097,Follicular lymphoma,Preregistration
T73215,Follicular lymphoma,Approved
T80276,Follicular lymphoma,Approved
T95913,Follicular lymphoma,Approved
T96144,Follicular lymphoma,Phase 3
T99948,Follicular lymphoma,Phase 1
T99989,Follicular lymphoma,Approved
T28893,Frontotemporal dementia,Phase 1
T45182,Frontotemporal dementia,Phase 1/2
T46360,Frontotemporal dementia,Phase 1
T63233,Frontotemporal dementia,Phase 3
T00140,Fungal infection,Phase 2
T01318,Fungal infection,Approved
T14558,Fungal infection,Approved
T16514,Fungal infection,Preclinical
T16731,Fungal infection,Preclinical
T20331,Fungal infection,Terminated
T20474,Fungal infection,Phase 2
T22348,Fungal infection,Terminated
T32862,Fungal infection,Approved
T33491,Fungal infection,Terminated
T40785,Fungal infection,Phase 3
T41820,Fungal infection,Phase 2
T48940,Fungal infection,Approved
T56923,Fungal infection,Approved
T66350,Fungal infection,Approved
T67046,Fungal infection,Preclinical
T67282,Fungal infection,Phase 1
T69189,Fungal infection,Approved
T73189,Fungal infection,Approved
T73726,Fungal infection,Approved
T78173,Fungal infection,Approved
T79534,Fungal infection,Discontinued in Phase 2
T82349,Fungal infection,Terminated
T83145,Fungal infection,Phase 2
T86836,Fungal infection,Preclinical
T95410,Fungal infection,Phase 2
T30985,Gastric ulcer,Discontinued in Phase 1
T62841,Gastric ulcer,Patented
T79961,Gastritis,Approved
T09826,Gastrointestinal stromal tumour,Phase 1
T43415,Gastrointestinal stromal tumour,Phase 3
T53524,Gastrointestinal stromal tumour,Approved
T57700,Gastrointestinal stromal tumour,Approved
T63231,Gastrointestinal stromal tumour,Phase 3
T65429,Gastrointestinal stromal tumour,Phase 1
T80975,Gastrointestinal stromal tumour,Approved
T85943,Gastrointestinal stromal tumour,Phase 3
T17852,Genitourinary disease,Phase 2
T63195,Giant axonal neuropathy,Phase 1/2
T00523,Gout,Phase 2
T00884,Gout,Withdrawn from market
T05089,Gout,Approved
T05196,Gout,Approved
T11288,Gout,Approved
T22583,Gout,Discontinued in Phase 3
T26623,Gout,Discontinued in Phase 3
T40954,Gout,Phase 2
T56923,Gout,Withdrawn from market
T58921,Gout,Phase 2/3
T60529,Gout,Withdrawn from market
T63200,Gout,Phase 1/2
T66665,Gout,Withdrawn from market
T70680,Gout,Approved
T73712,Gout,Withdrawn from market
T78198,Gout,Phase 2
T86057,Gout,Phase 3
T86591,Gout,Phase 1
T99954,Gout,Phase 3
T06093,Graft-versus-host disease,Approved
T11947,Graft-versus-host disease,Phase 3
T30081,Graft-versus-host disease,Preregistration
T35040,Graft-versus-host disease,Phase 2/3
T40663,Graft-versus-host disease,Phase 3
T44682,Graft-versus-host disease,Phase 2
T50445,Graft-versus-host disease,Phase 1
T68039,Graft-versus-host disease,Terminated
T82494,Graft-versus-host disease,Phase 2
T38179,Gram-negative bacterial infection,Phase 1
T71905,Gram-negative bacterial infection,Phase 1
T85944,Gram-negative bacterial infection,Terminated
T05114,Gram-positive bacterial infection,Phase 2
T12499,Gram-positive bacterial infection,Investigative
T16514,Gram-positive bacterial infection,Investigative
T22348,Gram-positive bacterial infection,Approved
T24634,Gram-positive bacterial infection,Investigative
T34743,Gram-positive bacterial infection,Approved
T38179,Gram-positive bacterial infection,Discontinued in Phase 3
