drug_id,disease_name,disease_specific_drug_approval_status
D0R2GA,Crohn disease,Patented
D0R6FO,Crohn disease,Patented
D0R7YN,Crohn disease,Patented
D0RE0F,Crohn disease,Patented
D0RG1Z,Crohn disease,Patented
D0RZ5E,Crohn disease,Patented
D0SD4Q,Crohn disease,Patented
D0SE7V,Crohn disease,Patented
D0SR8I,Crohn disease,Patented
D0SU0E,Crohn disease,Patented
D0T6NX,Crohn disease,Patented
D0T7VN,Crohn disease,Patented
D0TP8T,Crohn disease,Patented
D0TY1Q,Crohn disease,Patented
D0UB8U,Crohn disease,Patented
D0UE3F,Crohn disease,Patented
D0UG9S,Crohn disease,Patented
D0UK1S,Crohn disease,Patented
D0US5I,Crohn disease,Patented
D0UZ2S,Crohn disease,Patented
D0VA1D,Crohn disease,Patented
D0VB4T,Crohn disease,Patented
D0VF5B,Crohn disease,Patented
D0VG0F,Crohn disease,Patented
D0W1SE,Crohn disease,Patented
D0W7VE,Crohn disease,Patented
D0WO2I,Crohn disease,Patented
D0WO6C,Crohn disease,Patented
D0WV9J,Crohn disease,Patented
D0WW9B,Crohn disease,Patented
D0X4TV,Crohn disease,Patented
D0X7HN,Crohn disease,Patented
D0X8AB,Crohn disease,Patented
D0XH4K,Crohn disease,Patented
D0XP5X,Crohn disease,Patented
D0XR1C,Crohn disease,Patented
D0Y0SI,Crohn disease,Patented
D0Y3UB,Crohn disease,Patented
D0YX4L,Crohn disease,Patented
D0Z1YF,Crohn disease,Patented
D0Z1ZA,Crohn disease,Patented
D0Z6PF,Crohn disease,Patented
D0ZD6N,Crohn disease,Patented
D0ZR2O,Crohn disease,Patented
D72HXF,Crohn disease,Phase 2
D0A2ZX,Crohn disease,Phase 3
D0S5UH,Crohn disease,Approved
D0WL0Q,Crohn disease,Phase 2
D07JAG,Crohn disease,Phase 2
D0SG7B,Crohn disease,Phase 2
DFK8Z5,Crohn disease,Phase 2
D07UKF,Crohn disease,Phase 1
D09KIG,Crohn disease,Phase 1
D0D4ZW,Crohn disease,Phase 2
D0M1WU,Crohn disease,Phase 3
D09FKY,Crohn disease,Phase 3
D0H1TL,Crohn disease,Discontinued in Phase 2
D3LWJ7,Crohn disease,Approved
DWKI46,Crohn disease,Phase 3
D00YXU,Crohn disease,Phase 1
D0K3UQ,Crohn disease,Phase 3
D07FEC,Crohn disease,Phase 3
D0Y5ZT,Cutaneous lupus erythematosus,Phase 2
D01XVF,Cutaneous lupus erythematosus,Phase 3
DF1T2W,Cutaneous lupus erythematosus,Phase 1
D0BW6F,Cutaneous lupus erythematosus,Phase 2
D0H2HZ,Cutaneous lupus erythematosus,Phase 1
D0SG7B,Cutaneous lupus erythematosus,Phase 2
DMT2F4,Cutaneous lupus erythematosus,Phase 3
DC1AV3,Cutaneous lupus erythematosus,Phase 2
D05OVR,Cystic fibrosis,Terminated
D09IRQ,Cystic fibrosis,Phase 3
D0F7WQ,Cystic fibrosis,Discontinued in Phase 2
D08DGC,Cystic fibrosis,Phase 2
D0Y6SQ,Cystic fibrosis,Phase 2
D0O1WX,Cystic fibrosis,Phase 2
DI6G5U,Cystic fibrosis,Phase 2
D0PQ3V,Cystic fibrosis,Terminated
D0N5LJ,Cystic fibrosis,Phase 1
D0Q7JC,Cystic fibrosis,Phase 1/2
D01OGV,Cystic fibrosis,Phase 1
D08PBB,Cystic fibrosis,Phase 2
DAD95G,Cystic fibrosis,Phase 2
D01DGZ,Cystic fibrosis,Phase 2
D0A1YF,Cystic fibrosis,Phase 1
D0E0JO,Cystic fibrosis,Phase 2
D0S9WB,Cystic fibrosis,Approved
D0U0QC,Cystic fibrosis,Phase 1
D0VT6X,Cystic fibrosis,Phase 1
D0W7WC,Cystic fibrosis,Approved
D0X0CB,Cystic fibrosis,Phase 2
D0Z5HR,Cystic fibrosis,Phase 3
D62RIY,Cystic fibrosis,Phase 1
D0SN7I,Cystic fibrosis,Phase 2
D00NWT,Cystic fibrosis,Discontinued in Phase 2
D09BLW,Cystic fibrosis,Discontinued in Phase 2
D18ATS,Cystic fibrosis,Phase 2
D0QG2D,Cystic fibrosis,Discontinued in Phase 2
D0T9LR,Cystic fibrosis,Phase 3
D9MT4S,Cystic fibrosis,Preclinical
D0J3SU,Cystic fibrosis,Clinical trial
D00ARN,Cystic fibrosis,Terminated
D0JE4D,Cystic fibrosis,Approved
D0W0GE,Cystic fibrosis,Phase 1
D07QQP,Cystic fibrosis,Phase 2
D0M9FF,Cystitis,Terminated
D00AMQ,Cystitis,Approved
D0T1GT,Cystitis,Approved
D0YO5Z,Deafness,Phase 1/2
D0J1RH,Deep vein thrombosis,Terminated
D01ZJK,Deep vein thrombosis,Approved
D0UX6Z,Deep vein thrombosis,Approved
D0KG3R,Deep vein thrombosis,Approved
D0U7HJ,Deep vein thrombosis,Approved
D0P4PZ,Delayed methotrexate clearance,Approved
D0I3XA,Dementia,Investigative
D07QVY,Dementia,Investigative
D0MW7B,Dementia,Phase 3
D00CVJ,Dementia,Phase 2
D0BJ2W,Dementia,Phase 2
D01QXY,Dementia,Phase 1
D0O5GK,Dementia,Phase 1/2
D0UD4Y,Dementia,Phase 2
D0X8HB,Dementia,Phase 3
D01JOJ,Dementia,Discontinued in Phase 2
D0YC4F,Dementia,Phase 2
D0L1DP,Dementia,Discontinued in Phase 2
D07YGH,Dementia,Phase 2
D0OW9L,Dementia,Phase 1
D0X6PG,Dementia,Terminated
D0I5ZO,Dementia,Investigative
D08UQS,Dementia,Phase 2
D07KIB,Dementia,Investigative
D07TGY,Dementia,Approved
D09WVR,Dengue fever,Preclinical
D08CDE,Dengue fever,Phase 1/2
D0T9YU,Dengue fever,Investigative
DD1ZV6,Depression,Phase 2
D02VCK,Depression,Discontinued in Phase 3
D00VZZ,Depression,Approved
D0U0YR,Depression,Preclinical
D0AI8V,Depression,Phase 1
D00MYQ,Depression,Approved
D01AXB,Depression,Approved
D01UTL,Depression,Approved
D06ZUK,Depression,Approved
D08MUX,Depression,Investigative
D09VGC,Depression,Approved
D0B2OC,Depression,Discontinued in Phase 2
D0N8FQ,Depression,Approved
D0P1UX,Depression,Approved
D0Y5UG,Depression,Approved
D09XLS,Depression,Discontinued in Phase 1
D00USF,Depression,Approved
D01ESB,Depression,Discontinued in Phase 2
D03HFG,Depression,Approved
D04WFD,Depression,Approved
D06GDY,Depression,Approved
D08SHE,Depression,Phase 1
D0C1XS,Depression,Withdrawn from market
D0K0TC,Depression,Approved
D0Q0EF,Depression,Phase 3
D0TR5X,Depression,Approved
D0Y5DO,Depression,Approved
D0ZS8P,Depression,Approved
D0IP6X,Depression,Terminated
D0W8SJ,Depression,Approved
D09CKT,Depression,Investigative
D02NTS,Depression,Phase 2
D05MDJ,Depression,Phase 2
D0O5LA,Depression,Approved
D01VJN,Depression,Approved
D00PYP,Depression,Terminated
D02IOC,Depression,Investigative
D03KJS,Depression,Terminated
D04KWH,Depression,Investigative
D0B2AH,Depression,Investigative
D0J1FB,Depression,Phase 1
D00XPA,Depression,Discontinued in Phase 3
D0GU4K,Depression,Approved
D0J5CX,Depression,Discontinued in Phase 2
D0P1YE,Depression,Phase 2
D0WB9V,Depression,Approved
D05WJQ,Depression,Discontinued in Phase 3
D0E9EE,Depression,Discontinued in Phase 1
D00ACC,Depression,Discontinued in Phase 1
D0J8DD,Depression,Phase 2
D0Y7DP,Depression,Approved
D01ZSO,Depression,Approved
D0P9AC,Depression,Approved
D0F5AR,Depression,Phase 2
D0MF9H,Depression,Discontinued in Phase 1
D0TP5H,Depression,Phase 3
D3PD8C,Depression,Phase 3
D01KHH,Depression,Approved
D0R6RO,Depression,Approved
D0W2PK,Depression,Discontinued in Phase 1
D06FES,Depression,Approved
D02CTZ,Depression,Investigative
D0R5GS,Depression,Terminated
D07KYU,Depression,Withdrawn from market
D05ZIK,Depression,Approved
D0X7DE,Depression,Withdrawn from market
D0I2VK,Depression,Approved
D05EJG,Depression,Approved
D0ZM2S,Depression,Discontinued in Phase 1
D0PI2E,Dermatitis herpetiformis,Approved
D0D4CY,Dermatitis herpetiformis,Approved
D06ZAY,Dermatophytosis,Approved
D02NTO,Dermatophytosis,Approved
D54WUR,Desmoid tumour,Phase 1
D00GPQ,Desmoid tumour,Approved
DT3OE6,Desmoid tumour,Phase 2
D0I4DQ,Diabetic foot ulcer,Approved
D0P5FA,Diabetic foot ulcer,Phase 1/2
D01NWV,Diabetic foot ulcer,Phase 3
D0G5BL,Diabetic foot ulcer,Phase 2
D09VWI,Diabetic foot ulcer,Phase 1
D08NYO,Diabetic foot ulcer,Investigative
D0U5SC,Diabetic foot ulcer,Approved
D0F6JC,Diabetic foot ulcer,Phase 1
D07YDE,Diabetic foot ulcer,Approved
D05GGP,Diabetic foot ulcer,Approved
D0S0LZ,Diabetic foot ulcer,Phase 2
D07HAD,Diabetic foot ulcer,Discontinued in Phase 2
D0IM6O,Diabetic foot ulcer,Phase 3
D06MIQ,Diabetic foot ulcer,Phase 2
D0E7MA,Diabetic foot ulcer,Phase 1/2
D0D4OS,Diabetic foot ulcer,Phase 3
D9CI7V,Diabetic foot ulcer,Phase 3
D04BVN,Diabetic foot ulcer,Phase 3
D0A6WA,Diabetic foot ulcer,Phase 2
D0O3XU,Diabetic foot ulcer,Phase 2
D01TEA,Diabetic foot ulcer,Phase 3
D0O5TQ,Diagnostic imaging,Approved
D06EMT,Diagnostic imaging,Approved
D05ZSB,Diagnostic imaging,Approved
D0Z3LC,Diagnostic imaging,Phase 1
D00QOJ,Diagnostic imaging,Phase 2
D1HEN2,Diagnostic imaging,Approved
D9E6KQ,Diagnostic imaging,Approved
D0EN0G,Diagnostic imaging,Approved
D09CGE,Diagnostic imaging,Approved
DBG46D,Diagnostic imaging,Approved
D0WK1M,Diffuse large B-cell lymphoma,Phase 2
D09NTC,Diffuse large B-cell lymphoma,Phase 1
D05QOL,Diffuse large B-cell lymphoma,Approved
D0PA1B,Diffuse large B-cell lymphoma,Phase 2
D0E5IP,Diffuse large B-cell lymphoma,Investigative
D0H4XV,Diffuse large B-cell lymphoma,Discontinued in Phase 1/2
D0PU8Z,Diffuse large B-cell lymphoma,Terminated
D09KTS,Diffuse large B-cell lymphoma,Phase 3
DUTJ12,Diffuse large B-cell lymphoma,Phase 2
D00EQL,Diffuse large B-cell lymphoma,Phase 1/2
DI1L7M,Diffuse large B-cell lymphoma,Phase 1
D03QZJ,Diffuse large B-cell lymphoma,Phase 1
DZ1F3N,Diffuse large B-cell lymphoma,Phase 1/2
D02ONA,Diffuse large B-cell lymphoma,Phase 1/2
D08JTI,Diffuse large B-cell lymphoma,Phase 1/2
D0EI1U,Diffuse large B-cell lymphoma,Discontinued in Phase 2
D0PO0L,Diffuse large B-cell lymphoma,Phase 1
D0I6VU,Diffuse large B-cell lymphoma,Phase 3
D0I0XF,Diffuse large B-cell lymphoma,Phase 1/2
DZ7OC3,Diffuse large B-cell lymphoma,Phase 1
D0UO0C,Diffuse large B-cell lymphoma,Phase 1/2
D07ACL,Diffuse large B-cell lymphoma,Phase 2
D00LNW,Diffuse large B-cell lymphoma,Phase 2
D00UNK,Diffuse large B-cell lymphoma,Phase 2
D02CYL,Diffuse large B-cell lymphoma,Phase 2/3
D03UNT,Diffuse large B-cell lymphoma,Clinical trial
D05LIH,Diffuse large B-cell lymphoma,Phase 1/2
D08LLB,Diffuse large B-cell lymphoma,Phase 1
D0DK5R,Diffuse large B-cell lymphoma,Approved
D0EH1J,Diffuse large B-cell lymphoma,Phase 1/2
D0G4IW,Diffuse large B-cell lymphoma,Phase 1
D0G5WV,Diffuse large B-cell lymphoma,Phase 1/2
D0I0UM,Diffuse large B-cell lymphoma,Phase 2
D0IM6T,Diffuse large B-cell lymphoma,Phase 3
D0J3DN,Diffuse large B-cell lymphoma,Phase 1/2
D0K4RK,Diffuse large B-cell lymphoma,Phase 2/3
D0L5HM,Diffuse large B-cell lymphoma,Phase 2
D0M0CO,Diffuse large B-cell lymphoma,Phase 1/2
D0MA4O,Diffuse large B-cell lymphoma,Phase 1/2
D0MWS2,Diffuse large B-cell lymphoma,Phase 1
D0NL9N,Diffuse large B-cell lymphoma,Clinical trial
D0U0BN,Diffuse large B-cell lymphoma,Phase 1
D0Z8GD,Diffuse large B-cell lymphoma,Phase 1/2
D2PFY3,Diffuse large B-cell lymphoma,Phase 1
D8L5PA,Diffuse large B-cell lymphoma,Approved
DI6BK9,Diffuse large B-cell lymphoma,Phase 1
DV3ZI0,Diffuse large B-cell lymphoma,Phase 1
D09GEK,Diffuse large B-cell lymphoma,Phase 1
D00GOV,Diffuse large B-cell lymphoma,Phase 2
D9OMQ3,Diffuse large B-cell lymphoma,Phase 1/2
DB4M9J,Diffuse large B-cell lymphoma,Approved
DKF7G0,Diffuse large B-cell lymphoma,Approved
DLM8G6,Diffuse large B-cell lymphoma,Phase 2
D06KTJ,Diffuse large B-cell lymphoma,Phase 2
D6SJ0B,Diffuse large B-cell lymphoma,Phase 2
D00FHR,Diffuse large B-cell lymphoma,Phase 1/2
D0E6UZ,Diffuse large B-cell lymphoma,Phase 1
D0V0SL,Diffuse large B-cell lymphoma,Phase 2
D07RHP,Diffuse large B-cell lymphoma,Phase 2
D08WLY,Diffuse large B-cell lymphoma,Phase 1
D0O8SJ,Diffuse large B-cell lymphoma,Phase 2/3
D0V6VD,Diffuse large B-cell lymphoma,Phase 1/2
D0Y3HP,Diffuse large B-cell lymphoma,Phase 2
D0Y8ZN,Diffuse large B-cell lymphoma,Phase 3
D0YV4F,Diffuse large B-cell lymphoma,Approved
DZNH43,Diffuse large B-cell lymphoma,Phase 2
D3YJZ7,Diffuse large B-cell lymphoma,Phase 2/3
D0P9XM,Diffuse large B-cell lymphoma,Phase 1
D0Q4OW,Diffuse large B-cell lymphoma,Phase 3
D09WKM,Diffuse large B-cell lymphoma,Phase 2
D2R0UM,Diffuse large B-cell lymphoma,Phase 2
D09MRL,Diffuse large B-cell lymphoma,Phase 2
D0LS9E,Diffuse large B-cell lymphoma,Phase 1
D0Y4EM,Disseminated intravascular coagulation,Discontinued in Phase 3
D09XUH,Duodenal ulcer,Phase 3
D07INV,Duodenal ulcer,Withdrawn from market
D0WS8K,Duodenal ulcer,Investigative
D09YTY,Duodenal ulcer,Discontinued in Phase 3
D0A2IH,Duodenal ulcer,Discontinued in Phase 3
D0D1YY,Duodenal ulcer,Discontinued in Phase 2
D0R8FM,Duodenal ulcer,Withdrawn from market
D03EZB,Duodenal ulcer,Discontinued in Phase 2
D03RVC,Duodenal ulcer,Phase 2
D0M8HH,Duodenal ulcer,Discontinued in Phase 3
D0L8MO,Duodenal ulcer,Phase 2
D01WMW,Dyslipidemia,Investigative
D01VMZ,Dyslipidemia,Phase 2
D0B0UN,Dyslipidemia,Discontinued in Phase 1
D0F8XI,Dyslipidemia,Discontinued in Phase 1
D01QXY,Dyslipidemia,Phase 1
D04NJS,Dyslipidemia,Phase 1
D06KPR,Dyslipidemia,Phase 1
D05YTG,Dyslipidemia,Phase 2
D04XGU,Dyslipidemia,Approved
D0G1WL,Dyslipidemia,Approved
D03GYK,Dyslipidemia,Discontinued in Phase 3
D06RRD,Dyslipidemia,Investigative
DE6GF4,Dyslipidemia,Phase 2
D0RK1O,Dyslipidemia,Phase 2
D02CTS,Dyspareunia,Approved
D01ZDR,Dyspepsia,Terminated
D0O3DK,Dyspepsia,Phase 2
D00XWD,Dyspepsia,Withdrawn from market
D04LDK,Dyspepsia,Preclinical
D00PMB,Dysplasia,Phase 3
D0TU1E,Dystrophic epidermolysis bullosa,Phase 1/2
D0TG4S,Eczema,Phase 2
D05RXW,Eczema,Phase 2
D0IL7L,Eczema,Phase 1
D05UGH,Eczema,Phase 2
D0E5GI,Eczema,Phase 1
D00AWA,Emphysema,Terminated
D04ELD,Emphysema,Approved
D9EC0G,Emphysema,Approved
D02EMR,Emphysema,Discontinued in Phase 3
D0H8OH,Emphysema,Phase 2
D0V9MT,Encephalopathy,Phase 1
D07GTW,Encephalopathy,Phase 2
D0R3ZE,Encephalopathy,Phase 2
D08IXA,Encephalopathy,Phase 3
D0Y1ZU,Encephalopathy,Phase 3
D0S5WG,Endocarditis,Approved
D04OKJ,Endocarditis,Terminated
D0A3SX,Endocrine disease,Investigative
D0S9VG,Endocrine disease,Investigative
D07XQS,Endometrial cancer,Phase 2
D0G8CU,Endometrial cancer,Phase 1
D0J0EM,Endometrial cancer,Phase 2
D0N4PC,Endometrial cancer,Terminated
D0U2DO,Endometrial cancer,Phase 2
D07OZR,Endometrial cancer,Phase 2
DMF73Z,Endometrial cancer,Phase 2
DGQU43,Endometrial cancer,Approved
D0V6OA,Endometrial cancer,Phase 2
D0N5JZ,Endometrial cancer,Phase 2
D0RP2W,Endometrial cancer,Phase 1
D0G2CG,Endometrial cancer,Phase 1/2
D0G4GY,Endometrial cancer,Phase 1
D0L0ZC,Endometrial cancer,Discontinued in Phase 1
D0SX9C,Endometriosis,Phase 1
D0T4KG,Endometriosis,Phase 2
D02ROU,Endometriosis,Phase 2
D08FKH,Endometriosis,Phase 2
D08WYM,Endometriosis,Approved
D0F2WP,Endometriosis,Phase 3
D0V6KF,Endometriosis,Investigative
D0VG7Y,Endometriosis,Approved
D02XMD,Endometriosis,Phase 2
D0NF1D,Endometriosis,Phase 1
DF0PI8,Endometriosis,Phase 1
D02HUB,Endometriosis,Phase 3
D07YGK,Endometriosis,Phase 2
D0H2MF,Endometriosis,Investigative
D0K2HA,Endometriosis,Phase 1
D0U8AS,Endometriosis,Phase 2
D0W5RL,Endometriosis,Discontinued in Phase 3
D04ZND,Endometriosis,Phase 2
D0I3RN,Endometriosis,Phase 2
D03YAA,Endometriosis,Patented
D0S5EF,Endometriosis,Phase 1
D0DJ1B,Endometriosis,Investigative
D09BKE,Endometriosis,Terminated
D0IC7A,Endometriosis,Phase 3
D01XLM,Enterobiasis,Approved
D07BSE,Enthesopathy,Phase 3
D0N4OW,Enuresis,Approved
D0CH4A,Enzyme deficiency,Approved
D09PFR,Epidermolysis bullosa,Phase 1
D8CW9E,Epidermolysis bullosa,Phase 3
DMT4U6,Epileptic encephalopathy,Phase 2
D0B7SP,Episode,Discontinued in Phase 2
D0D4CX,Esophageal cancer,Phase 2
D0S6AQ,Esophageal cancer,Discontinued in Phase 1
D03XTY,Esophageal cancer,Phase 1
D09KWN,Esophageal cancer,Phase 1/2
D03QBT,Esophageal cancer,Phase 3
D08QYW,Esophageal cancer,Phase 1/2
DMF73Z,Esophageal cancer,Phase 2
D07GFF,Esophageal cancer,Discontinued in Phase 2
D00GOV,Esophageal cancer,Phase 3
D08ANZ,Esophageal cancer,Phase 3
D0B3ZC,Esophageal cancer,Phase 2
D0LJ2S,Esophageal cancer,Phase 1/2
D04PMM,Esophagus sensitivity,Discontinued in Phase 2
D0V8HA,Essential hypertension,Approved
DCWT40,Ewing sarcoma,Phase 1
D00BMF,Ewing sarcoma,Phase 1
D31ZLD,Ewing sarcoma,Phase 1
D0HU0A,Ewing sarcoma,Phase 1
D01AXT,Eye disorder,Discontinued in Phase 2
D0I3OS,Fallopian tube cancer,Phase 2
D04ZIZ,Fallopian tube cancer,Phase 1
D0DN0W,Fallopian tube cancer,Approved
D0G8CU,Fallopian tube cancer,Phase 1
D00IVN,Fallopian tube cancer,Phase 1
D00YQI,Fallopian tube cancer,Phase 2
D0J1OG,Fallopian tube cancer,Phase 1
D0G2CG,Fallopian tube cancer,Phase 1/2
D07YPB,Fallopian tube cancer,Phase 1
D8EIB7,Fallopian tube cancer,Phase 1
D0OS7K,Fallopian tube cancer,Phase 2
D02GWJ,Fatigue,Phase 2
D08OHK,Female infertility,Phase 1
D0R9VC,Female infertility,Phase 3
D02FTU,Female infertility,Investigative
D02SBQ,Female infertility,Approved
D04WBY,Female infertility,Approved
D08MVV,Female infertility,Investigative
D09HCE,Female infertility,Investigative
D0OM3A,Female infertility,Approved
D0W6SS,Female infertility,Approved
D0Z2CM,Female infertility,Approved
D0CT9Y,Female infertility,Approved
D0I5WB,Female infertility,Approved
D06JRD,Fever,Withdrawn from market
D0R3LQ,Fibrosis,Phase 2
D05GVV,Fibrosis,Patented
D05LBH,Fibrosis,Patented
D09KYB,Fibrosis,Patented
D0V7OF,Fibrosis,Patented
D0S7NS,Fibrosis,Investigative
D4ZLC2,Fibrosis,Phase 2
D04XVU,Fibrosis,Phase 2
D09ZNL,Fibrosis,Phase 1/2
D0I4LB,Fibrosis,Terminated
D0I4VX,Fibrosis,Investigative
D0ID0R,Fibrosis,Terminated
D00VFH,Fibrosis,Phase 1
D07UNH,Fibrosis,Patented
D0X7KB,Fibrosis,Phase 3
D07WCT,Fibrosis,Phase 2
D0Z2JF,Fibrosis,Phase 2
D0L9ZR,Flatworm infection,Approved
D0J2VB,Follicular lymphoma,Phase 1
D05QOL,Follicular lymphoma,Phase 2
D09KTS,Follicular lymphoma,Phase 3
D0E8PG,Follicular lymphoma,Phase 2
D00EQL,Follicular lymphoma,Approved
DI1L7M,Follicular lymphoma,Phase 1
D0C6YQ,Follicular lymphoma,Phase 1
D08JTI,Follicular lymphoma,Phase 1/2
D0PO0L,Follicular lymphoma,Phase 1
D03UNT,Follicular lymphoma,Clinical trial
D05LIH,Follicular lymphoma,Phase 1/2
D08BPS,Follicular lymphoma,Phase 1
D08LLB,Follicular lymphoma,Phase 1
D0DK5R,Follicular lymphoma,Phase 2/3
D0EH1J,Follicular lymphoma,Phase 1/2
D0G4IW,Follicular lymphoma,Phase 1
D0IM6T,Follicular lymphoma,Phase 2
D0M0CO,Follicular lymphoma,Phase 1/2
D0M4WU,Follicular lymphoma,Phase 2
D0MV4T,Follicular lymphoma,Phase 1/2
D0NL9N,Follicular lymphoma,Clinical trial
D2PFY3,Follicular lymphoma,Phase 1
D8L5PA,Follicular lymphoma,Phase 2
D00GOV,Follicular lymphoma,Phase 2
D2HDB8,Follicular lymphoma,Approved
D9OMQ3,Follicular lymphoma,Phase 1/2
DKF7G0,Follicular lymphoma,Phase 1
D0V0SL,Follicular lymphoma,Phase 3
D0EQ6D,Follicular lymphoma,Clinical trial
D07RHP,Follicular lymphoma,Phase 2
D08WLY,Follicular lymphoma,Phase 1
D0O8SJ,Follicular lymphoma,Approved
D0RU0O,Follicular lymphoma,Approved
D0S5LD,Follicular lymphoma,Approved
DP1SE6,Follicular lymphoma,Phase 2
D0A5SJ,Follicular lymphoma,Preregistration
D0GP8N,Follicular lymphoma,Phase 3
D0O9DK,Follicular lymphoma,Phase 3
D0Q0RX,Follicular lymphoma,Phase 1/2
D0V6VD,Follicular lymphoma,Phase 1/2
DJ5E7O,Follicular lymphoma,Phase 3
D0Q4OW,Follicular lymphoma,Phase 3
D0YM2K,Follicular lymphoma,Phase 1
DZ02CQ,Frontotemporal dementia,Phase 1
D2AG4O,Frontotemporal dementia,Phase 1/2
D5C4YE,Frontotemporal dementia,Phase 1/2
D8FX9H,Frontotemporal dementia,Phase 1/2
DO57XC,Frontotemporal dementia,Phase 3
DW0E3K,Frontotemporal dementia,Phase 3
D00RJB,Fungal infection,Phase 2
D06ZEE,Fungal infection,Approved
D05EAM,Fungal infection,Approved
D04RSI,Fungal infection,Preclinical
D0R2SW,Fungal infection,Preclinical
D09IFW,Fungal infection,Preclinical
D05ALG,Fungal infection,Terminated
D09XUY,Fungal infection,Phase 2
D03HSF,Fungal infection,Terminated
D02DWM,Fungal infection,Approved
D08XAC,Fungal infection,Approved
D00VFM,Fungal infection,Investigative
D02MQL,Fungal infection,Investigative
D0C9KY,Fungal infection,Investigative
D0O2NQ,Fungal infection,Phase 3
D07GRH,Fungal infection,Approved
D09GOS,Fungal infection,Approved
D0X9RY,Fungal infection,Approved
D0J6VN,Fungal infection,Preclinical
D09DUQ,Fungal infection,Phase 1
D0V4IB,Fungal infection,Approved
D00ZCN,Fungal infection,Approved
D07INL,Fungal infection,Phase 2
D00AXJ,Fungal infection,Approved
D01ZBF,Fungal infection,Phase 2
D05QIU,Fungal infection,Phase 1
D08MTG,Fungal infection,Discontinued in Phase 3
D09LNI,Fungal infection,Approved
D0AA2D,Fungal infection,Approved
D0B4IF,Fungal infection,Approved
D0CE8J,Fungal infection,Phase 1
D0G4BI,Fungal infection,Approved
D0J1CL,Fungal infection,Phase 2
D0O6UZ,Fungal infection,Approved
D01AYJ,Fungal infection,Approved
D0T5NI,Fungal infection,Discontinued in Phase 2
D0BW9R,Fungal infection,Terminated
D01KHW,Fungal infection,Phase 2
DJ8CY4,Fungal infection,Phase 2
D0L9PY,Gastric ulcer,Discontinued in Phase 1
D0N3TO,Gastric ulcer,Discontinued in Phase 1
D0T2MN,Gastric ulcer,Discontinued in Phase 1
D09EIX,Gastric ulcer,Patented
D0I2RS,Gastric ulcer,Patented
D0JY5S,Gastritis,Approved
DJ4X7D,Gastrointestinal stromal tumour,Phase 1
D0MW0N,Gastrointestinal stromal tumour,Phase 3
D09AAK,Gastrointestinal stromal tumour,Approved
D0J1GR,Gastrointestinal stromal tumour,Phase 3
D0UO2P,Gastrointestinal stromal tumour,Approved
D03MDY,Gastrointestinal stromal tumour,Phase 1/2
DLC7Y9,Gastrointestinal stromal tumour,Phase 3
D0R0MW,Gastrointestinal stromal tumour,Approved
D0BT7R,Genitourinary disease,Phase 2
DZ40HL,Giant axonal neuropathy,Phase 1/2
D89BQK,Gout,Phase 2
D0Q5PL,Gout,Withdrawn from market
D0Z3DY,Gout,Approved
D06ZIT,Gout,Approved
D0S3BF,Gout,Phase 1
D03DEI,Gout,Approved
D0U9TM,Gout,Discontinued in Phase 3
D0B8SC,Gout,Discontinued in Phase 2
D0E4FM,Gout,Discontinued in Phase 2
D0I5JM,Gout,Phase 1
D0WK0P,Gout,Phase 2
D0Z2NY,Gout,Investigative
D03RJZ,Gout,Phase 1
D0X7VB,Gout,Phase 2/3
DZDL28,Gout,Phase 1/2
D0L7FM,Gout,Approved
D02ZKR,Gout,Phase 2
D03BSK,Gout,Phase 2
D06UTH,Gout,Phase 2
D62LZO,Gout,Phase 2
DA29IM,Gout,Phase 3
D0CO3N,Gout,Phase 3
D0U5UC,Graft-versus-host disease,Approved
D0X3GA,Graft-versus-host disease,Phase 3
D08AMJ,Graft-versus-host disease,Preregistration
D03RDQ,Graft-versus-host disease,Phase 2/3
D0OH8W,Graft-versus-host disease,Phase 3
DL2HO7,Graft-versus-host disease,Phase 2
D1BT2M,Graft-versus-host disease,Phase 1
D0JS4E,Graft-versus-host disease,Terminated
D0T3CH,Graft-versus-host disease,Phase 2
D2UE8B,Gram-negative bacterial infection,Phase 1
D0B0FU,Gram-negative bacterial infection,Phase 1
DC9FD4,Gram-negative bacterial infection,Terminated
D0I8FV,Gram-positive bacterial infection,Phase 2
D0D5EW,Gram-positive bacterial infection,Investigative
D06SYA,Gram-positive bacterial infection,Investigative
D0O1WX,Gram-positive bacterial infection,Approved
D04SDN,Gram-positive bacterial infection,Investigative
D05BIJ,Gram-positive bacterial infection,Investigative
D00XHD,Gram-positive bacterial infection,Approved
D0I0VY,Gram-positive bacterial infection,Discontinued in Phase 3
D0Q0EX,Gram-positive bacterial infection,Approved
D0Q6RG,Gram-positive bacterial infection,Phase 2
D0F9FR,Gram-positive bacterial infection,Phase 2
D0B1PE,Gram-positive bacterial infection,Investigative
D02IBU,Gram-positive bacterial infection,Terminated
D02IIW,Gram-positive bacterial infection,Approved
D03QWT,Gram-positive bacterial infection,Phase 3
D0B5FZ,Gram-positive bacterial infection,Approved
D04MOZ,Gram-positive bacterial infection,Investigative
D0H4NN,Gram-positive bacterial infection,Investigative
D0V0SL,Gynecologic cancer,Phase 2
D0F0ZE,Head and neck cancer,Phase 2
D05CPS,Head and neck cancer,Phase 1
D0G7YS,Head and neck cancer,Phase 1
D0G8CU,Head and neck cancer,Phase 1
D0V2SP,Head and neck cancer,Phase 2
